,Estados Unidos Mexicanos,Entidad federativa,Tamaño de la localidad,Grupos quinquenales de edad,Población de 15 años y más,Alfabetas :Total,Alfabetas :Hombres,Analfabetas :Mujeres,Analfabetas :Total,Analfabetas :Hombres,Analfabetas :Mujeres
53,Estados Unidos Mexicanos,Total,10 000 a 14 999 hab.,25 a 29 años,140806,125209,61384,63825,15597,5953,9644
54,Estados Unidos Mexicanos,Total,10 000 a 14 999 hab.,30 a 34 años,114374,98783,49838,48945,15591,5765,9826
55,Estados Unidos Mexicanos,Total,10 000 a 14 999 hab.,35 a 39 años,103315,84990,43188,41802,18325,6588,11737
56,Estados Unidos Mexicanos,Total,10 000 a 14 999 hab.,40 a 44 años,85345,67767,35076,32691,17578,6402,11176
57,Estados Unidos Mexicanos,Total,10 000 a 14 999 hab.,45 a 49 años,72242,54950,28587,26363,17292,6239,11053
58,Estados Unidos Mexicanos,Total,10 000 a 14 999 hab.,50 a 54 años,57451,41604,22057,19547,15847,5776,10071
59,Estados Unidos Mexicanos,Total,10 000 a 14 999 hab.,55 a 59 años,45316,32175,17712,14463,13141,5074,8067
60,Estados Unidos Mexicanos,Total,10 000 a 14 999 hab.,60 a 64 años,36039,23645,12700,10945,12394,4767,7627
61,Estados Unidos Mexicanos,Total,10 000 a 14 999 hab.,65 y más años,88333,51339,26878,24461,36994,14541,22453
62,Estados Unidos Mexicanos,Total,15 000 a 19 999 hab.,Total,752546,650534,325108,325426,102012,36311,65701
63,Estados Unidos Mexicanos,Total,15 000 a 19 999 hab.,15 a 19 años,154931,148294,72378,75916,6637,2843,3794
64,Estados Unidos Mexicanos,Total,15 000 a 19 999 hab.,20 a 24 años,118676,111072,52604,58468,7604,2829,4775
65,Estados Unidos Mexicanos,Total,15 000 a 19 999 hab.,25 a 29 años,95033,86781,42082,44699,8252,3012,5240
66,Estados Unidos Mexicanos,Total,15 000 a 19 999 hab.,30 a 34 años,77296,68846,34551,34295,8450,3004,5446
67,Estados Unidos Mexicanos,Total,15 000 a 19 999 hab.,35 a 39 años,67966,57959,29568,28391,10007,3395,6612
68,Estados Unidos Mexicanos,Total,15 000 a 19 999 hab.,40 a 44 años,55048,45537,23700,21837,9511,3196,6315
69,Estados Unidos Mexicanos,Total,15 000 a 19 999 hab.,45 a 49 años,45384,36247,19098,17149,9137,3023,6114
70,Estados Unidos Mexicanos,Total,15 000 a 19 999 hab.,50 a 54 años,36439,27922,14878,13044,8517,2862,5655
71,Estados Unidos Mexicanos,Total,15 000 a 19 999 hab.,55 a 59 años,28589,21344,11649,9695,7245,2588,4657
72,Estados Unidos Mexicanos,Total,15 000 a 19 999 hab.,60 a 64 años,21710,15108,8087,7021,6602,2375,4227
73,Estados Unidos Mexicanos,Total,15 000 a 19 999 hab.,65 y más años,51474,31424,16513,14911,20050,7184,12866
74,Estados Unidos Mexicanos,Total,20 000 a 49 999 hab.,Total,2062875,1797233,887323,909910,265642,96034,169608
75,Estados Unidos Mexicanos,Total,20 000 a 49 999 hab.,15 a 19 años,422694,403917,196795,207122,18777,8057,10720
76,Estados Unidos Mexicanos,Total,20 000 a 49 999 hab.,20 a 24 años,331991,310700,146641,164059,21291,8137,13154
77,Estados Unidos Mexicanos,Total,20 000 a 49 999 hab.,25 a 29 años,257623,235697,113676,122021,21926,8139,13787
78,Estados Unidos Mexicanos,Total,20 000 a 49 999 hab.,30 a 34 años,209045,187064,92629,94435,21981,8064,13917
79,Estados Unidos Mexicanos,Total,20 000 a 49 999 hab.,35 a 39 años,183862,158697,79337,79360,25165,8739,16426
80,Estados Unidos Mexicanos,Total,20 000 a 49 999 hab.,40 a 44 años,150707,126540,64581,61959,24167,8275,15892
81,Estados Unidos Mexicanos,Total,20 000 a 49 999 hab.,45 a 49 años,124071,100775,51799,48976,23296,7931,15365
82,Estados Unidos Mexicanos,Total,20 000 a 49 999 hab.,50 a 54 años,101381,79294,41284,38010,22087,7453,14634
83,Estados Unidos Mexicanos,Total,20 000 a 49 999 hab.,55 a 59 años,79187,60569,31960,28609,18618,6633,11985
84,Estados Unidos Mexicanos,Total,20 000 a 49 999 hab.,60 a 64 años,59510,42805,22242,20563,16705,5901,10804
85,Estados Unidos Mexicanos,Total,20 000 a 49 999 hab.,65 y más años,142804,91175,46379,44796,51629,18705,32924
86,Estados Unidos Mexicanos,Total,50 000 a 99 999 hab.,Total,1358698,1230001,599358,630643,128697,45021,83676
87,Estados Unidos Mexicanos,Total,50 000 a 99 999 hab.,15 a 19 años,282649,274154,131637,142517,8495,3631,4864
88,Estados Unidos Mexicanos,Total,50 000 a 99 999 hab.,20 a 24 años,225408,215252,101300,113952,10156,3729,6427
89,Estados Unidos Mexicanos,Total,50 000 a 99 999 hab.,25 a 29 años,175388,164740,78433,86307,10648,4013,6635
90,Estados Unidos Mexicanos,Total,50 000 a 99 999 hab.,30 a 34 años,142786,132109,64490,67619,10677,3809,6868
91,Estados Unidos Mexicanos,Total,50 000 a 99 999 hab.,35 a 39 años,121653,109322,54254,55068,12331,4216,8115
92,Estados Unidos Mexicanos,Total,50 000 a 99 999 hab.,40 a 44 años,99025,87223,44115,43108,11802,3963,7839
93,Estados Unidos Mexicanos,Total,50 000 a 99 999 hab.,45 a 49 años,80437,68780,34799,33981,11657,3868,7789
94,Estados Unidos Mexicanos,Total,50 000 a 99 999 hab.,50 a 54 años,64005,53053,27238,25815,10952,3574,7378
95,Estados Unidos Mexicanos,Total,50 000 a 99 999 hab.,55 a 59 años,49873,40600,21277,19323,9273,3222,6051
96,Estados Unidos Mexicanos,Total,50 000 a 99 999 hab.,60 a 64 años,36040,27947,13954,13993,8093,2754,5339
97,Estados Unidos Mexicanos,Total,50 000 a 99 999 hab.,65 y más años,81434,56821,27861,28960,24613,8242,16371
98,Estados Unidos Mexicanos,Total,100 000  y más hab.,Total,16447689,15300440,7428411,7872029,1147249,348863,798386
99,Estados Unidos Mexicanos,Total,100 000  y más hab.,15 a 19 años,3247759,3175635,1530998,1644637,72124,27413,44711
100,Estados Unidos Mexicanos,Total,100 000  y más hab.,20 a 24 años,2869006,2783483,1340760,1442723,85523,28917,56606
101,Estados Unidos Mexicanos,Total,100 000  y más hab.,25 a 29 años,2234495,2146766,1036832,1109934,87729,29306,58423
102,Estados Unidos Mexicanos,Total,100 000  y más hab.,30 a 34 años,1758586,1666757,818563,848194,91829,29173,62656
103,Estados Unidos Mexicanos,Total,100 000  y más hab.,35 a 39 años,1439980,1333407,660008,673399,106573,31723,74850
104,Estados Unidos Mexicanos,Total,100 000  y más hab.,40 a 44 años,1147437,1042251,519388,522863,105186,30983,74203
105,Estados Unidos Mexicanos,Total,100 000  y más hab.,45 a 49 años,950298,844216,416702,427514,106082,30002,76080
106,Estados Unidos Mexicanos,Total,100 000  y más hab.,50 a 54 años,777682,676015,331430,344585,101667,28426,73241
