,Estados Unidos Mexicanos,Entidad federativa,Tamaño de la localidad,Grupos quinquenales de edad,Población de 15 años y más,Alfabetas :Total,Alfabetas :Hombres,Analfabetas :Mujeres,Analfabetas :Total,Analfabetas :Hombres,Analfabetas :Mujeres
684,Estados Unidos Mexicanos,07  Chiapas,10 000 a 14 999 hab.,60 a 64 años,1090,563,339,224,527,232,295
685,Estados Unidos Mexicanos,07  Chiapas,10 000 a 14 999 hab.,65 y más años,2333,1111,636,475,1222,483,739
686,Estados Unidos Mexicanos,07  Chiapas,15 000 a 19 999 hab.,Total,21812,18371,8937,9434,3441,1088,2353
687,Estados Unidos Mexicanos,07  Chiapas,15 000 a 19 999 hab.,15 a 19 años,4481,4247,2055,2192,234,96,138
688,Estados Unidos Mexicanos,07  Chiapas,15 000 a 19 999 hab.,20 a 24 años,3084,2794,1202,1592,290,86,204
689,Estados Unidos Mexicanos,07  Chiapas,15 000 a 19 999 hab.,25 a 29 años,2539,2244,1057,1187,295,101,194
690,Estados Unidos Mexicanos,07  Chiapas,15 000 a 19 999 hab.,30 a 34 años,2209,1905,867,1038,304,104,200
691,Estados Unidos Mexicanos,07  Chiapas,15 000 a 19 999 hab.,35 a 39 años,2046,1693,871,822,353,115,238
692,Estados Unidos Mexicanos,07  Chiapas,15 000 a 19 999 hab.,40 a 44 años,1674,1352,683,669,322,94,228
693,Estados Unidos Mexicanos,07  Chiapas,15 000 a 19 999 hab.,45 a 49 años,1505,1203,606,597,302,97,205
694,Estados Unidos Mexicanos,07  Chiapas,15 000 a 19 999 hab.,50 a 54 años,1201,920,461,459,281,93,188
695,Estados Unidos Mexicanos,07  Chiapas,15 000 a 19 999 hab.,55 a 59 años,869,656,369,287,213,58,155
696,Estados Unidos Mexicanos,07  Chiapas,15 000 a 19 999 hab.,60 a 64 años,659,441,230,211,218,62,156
697,Estados Unidos Mexicanos,07  Chiapas,15 000 a 19 999 hab.,65 y más años,1545,916,536,380,629,182,447
698,Estados Unidos Mexicanos,07  Chiapas,20 000 a 49 999 hab.,Total,65807,51993,25815,26178,13814,4874,8940
699,Estados Unidos Mexicanos,07  Chiapas,20 000 a 49 999 hab.,15 a 19 años,14466,13058,6262,6796,1408,464,944
700,Estados Unidos Mexicanos,07  Chiapas,20 000 a 49 999 hab.,20 a 24 años,10879,9289,4531,4758,1590,582,1008
701,Estados Unidos Mexicanos,07  Chiapas,20 000 a 49 999 hab.,25 a 29 años,8385,6832,3275,3557,1553,564,989
702,Estados Unidos Mexicanos,07  Chiapas,20 000 a 49 999 hab.,30 a 34 años,6264,4967,2531,2436,1297,523,774
703,Estados Unidos Mexicanos,07  Chiapas,20 000 a 49 999 hab.,35 a 39 años,5971,4504,2229,2275,1467,522,945
704,Estados Unidos Mexicanos,07  Chiapas,20 000 a 49 999 hab.,40 a 44 años,4346,3151,1650,1501,1195,404,791
705,Estados Unidos Mexicanos,07  Chiapas,20 000 a 49 999 hab.,45 a 49 años,3908,2801,1451,1350,1107,410,697
706,Estados Unidos Mexicanos,07  Chiapas,20 000 a 49 999 hab.,50 a 54 años,3099,2120,1146,974,979,335,644
707,Estados Unidos Mexicanos,07  Chiapas,20 000 a 49 999 hab.,55 a 59 años,2278,1568,856,712,710,234,476
708,Estados Unidos Mexicanos,07  Chiapas,20 000 a 49 999 hab.,60 a 64 años,1971,1237,663,574,734,266,468
709,Estados Unidos Mexicanos,07  Chiapas,20 000 a 49 999 hab.,65 y más años,4240,2466,1221,1245,1774,570,1204
710,Estados Unidos Mexicanos,07  Chiapas,50 000 a 99 999 hab.,Total,52087,45740,22543,23197,6347,1635,4712
711,Estados Unidos Mexicanos,07  Chiapas,50 000 a 99 999 hab.,15 a 19 años,10720,10295,4817,5478,425,119,306
712,Estados Unidos Mexicanos,07  Chiapas,50 000 a 99 999 hab.,20 a 24 años,8660,8046,3791,4255,614,171,443
713,Estados Unidos Mexicanos,07  Chiapas,50 000 a 99 999 hab.,25 a 29 años,6774,6180,2956,3224,594,165,429
714,Estados Unidos Mexicanos,07  Chiapas,50 000 a 99 999 hab.,30 a 34 años,5208,4691,2311,2380,517,157,360
715,Estados Unidos Mexicanos,07  Chiapas,50 000 a 99 999 hab.,35 a 39 años,4706,3984,2070,1914,722,183,539
716,Estados Unidos Mexicanos,07  Chiapas,50 000 a 99 999 hab.,40 a 44 años,3860,3327,1713,1614,533,150,383
717,Estados Unidos Mexicanos,07  Chiapas,50 000 a 99 999 hab.,45 a 49 años,3227,2693,1357,1336,534,132,402
718,Estados Unidos Mexicanos,07  Chiapas,50 000 a 99 999 hab.,50 a 54 años,2512,2047,1065,982,465,104,361
719,Estados Unidos Mexicanos,07  Chiapas,50 000 a 99 999 hab.,55 a 59 años,1950,1513,819,694,437,101,336
720,Estados Unidos Mexicanos,07  Chiapas,50 000 a 99 999 hab.,60 a 64 años,1401,1014,577,437,387,94,293
721,Estados Unidos Mexicanos,07  Chiapas,50 000 a 99 999 hab.,65 y más años,3069,1950,1067,883,1119,259,860
722,Estados Unidos Mexicanos,07  Chiapas,100 000  y más hab.,Total,78811,65310,32602,32708,13501,4808,8693
723,Estados Unidos Mexicanos,07  Chiapas,100 000  y más hab.,15 a 19 años,16831,15273,7212,8061,1558,571,987
724,Estados Unidos Mexicanos,07  Chiapas,100 000  y más hab.,20 a 24 años,13987,12359,6008,6351,1628,579,1049
725,Estados Unidos Mexicanos,07  Chiapas,100 000  y más hab.,25 a 29 años,10882,9282,4624,4658,1600,598,1002
726,Estados Unidos Mexicanos,07  Chiapas,100 000  y más hab.,30 a 34 años,8079,6667,3462,3205,1412,534,878
727,Estados Unidos Mexicanos,07  Chiapas,100 000  y más hab.,35 a 39 años,6922,5579,2848,2731,1343,498,845
728,Estados Unidos Mexicanos,07  Chiapas,100 000  y más hab.,40 a 44 años,5440,4341,2219,2122,1099,360,739
729,Estados Unidos Mexicanos,07  Chiapas,100 000  y más hab.,45 a 49 años,4389,3321,1702,1619,1068,360,708
730,Estados Unidos Mexicanos,07  Chiapas,100 000  y más hab.,50 a 54 años,3484,2629,1378,1251,855,295,560
731,Estados Unidos Mexicanos,07  Chiapas,100 000  y más hab.,55 a 59 años,2602,1936,1067,869,666,233,433
732,Estados Unidos Mexicanos,07  Chiapas,100 000  y más hab.,60 a 64 años,1993,1352,724,628,641,228,413
733,Estados Unidos Mexicanos,07  Chiapas,100 000  y más hab.,65 y más años,4202,2571,1358,1213,1631,552,1079
734,Estados Unidos Mexicanos,08  Chihuahua,Total,Total,1163986,1061015,519207,541808,102971,49650,53321
735,Estados Unidos Mexicanos,08  Chihuahua,Total,15 a 19 años,244428,235391,116037,119354,9037,4892,4145
736,Estados Unidos Mexicanos,08  Chihuahua,Total,20 a 24 años,186707,177961,86107,91854,8746,4300,4446
737,Estados Unidos Mexicanos,08  Chihuahua,Total,25 a 29 años,135867,127367,61099,66268,8500,3941,4559
738,Estados Unidos Mexicanos,08  Chihuahua,Total,30 a 34 años,113436,105077,50743,54334,8359,3999,4360
739,Estados Unidos Mexicanos,08  Chihuahua,Total,35 a 39 años,103363,93968,45642,48326,9395,4492,4903
740,Estados Unidos Mexicanos,08  Chihuahua,Total,40 a 44 años,88365,79375,39561,39814,8990,4168,4822
741,Estados Unidos Mexicanos,08  Chihuahua,Total,45 a 49 años,72921,64110,31921,32189,8811,4241,4570
742,Estados Unidos Mexicanos,08  Chihuahua,Total,50 a 54 años,60335,52316,26059,26257,8019,3739,4280
743,Estados Unidos Mexicanos,08  Chihuahua,Total,55 a 59 años,46399,39560,20121,19439,6839,3255,3584
744,Estados Unidos Mexicanos,08  Chihuahua,Total,60 a 64 años,34455,28126,13891,14235,6329,3020,3309
745,Estados Unidos Mexicanos,08  Chihuahua,Total,65 y más años,77710,57764,28026,29738,19946,9603,10343
746,Estados Unidos Mexicanos,08  Chihuahua,1 a 2 499 hab.,Total,326331,266946,139236,127710,59385,30845,28540
747,Estados Unidos Mexicanos,08  Chihuahua,1 a 2 499 hab.,15 a 19 años,67317,61396,31470,29926,5921,3159,2762
748,Estados Unidos Mexicanos,08  Chihuahua,1 a 2 499 hab.,20 a 24 años,48623,43038,22097,20941,5585,2732,2853
749,Estados Unidos Mexicanos,08  Chihuahua,1 a 2 499 hab.,25 a 29 años,36039,30405,15541,14864,5634,2635,2999
750,Estados Unidos Mexicanos,08  Chihuahua,1 a 2 499 hab.,30 a 34 años,31493,26216,13518,12698,5277,2639,2638
751,Estados Unidos Mexicanos,08  Chihuahua,1 a 2 499 hab.,35 a 39 años,29973,24042,12486,11556,5931,2964,2967
752,Estados Unidos Mexicanos,08  Chihuahua,1 a 2 499 hab.,40 a 44 años,25379,20075,10630,9445,5304,2709,2595
753,Estados Unidos Mexicanos,08  Chihuahua,1 a 2 499 hab.,45 a 49 años,21318,16209,8703,7506,5109,2746,2363
754,Estados Unidos Mexicanos,08  Chihuahua,1 a 2 499 hab.,50 a 54 años,17703,13381,7229,6152,4322,2275,2047
755,Estados Unidos Mexicanos,08  Chihuahua,1 a 2 499 hab.,55 a 59 años,13353,9821,5426,4395,3532,1910,1622
756,Estados Unidos Mexicanos,08  Chihuahua,1 a 2 499 hab.,60 a 64 años,10828,7556,4073,3483,3272,1794,1478
757,Estados Unidos Mexicanos,08  Chihuahua,1 a 2 499 hab.,65 y más años,24305,14807,8063,6744,9498,5282,4216
758,Estados Unidos Mexicanos,08  Chihuahua,2 500 a 4 999 hab.,Total,32518,30320,15121,15199,2198,1156,1042
759,Estados Unidos Mexicanos,08  Chihuahua,2 500 a 4 999 hab.,15 a 19 años,7061,6873,3428,3445,188,123,65
760,Estados Unidos Mexicanos,08  Chihuahua,2 500 a 4 999 hab.,20 a 24 años,4669,4535,2204,2331,134,79,55
761,Estados Unidos Mexicanos,08  Chihuahua,2 500 a 4 999 hab.,25 a 29 años,3449,3323,1584,1739,126,60,66
762,Estados Unidos Mexicanos,08  Chihuahua,2 500 a 4 999 hab.,30 a 34 años,3193,3047,1498,1549,146,70,76
763,Estados Unidos Mexicanos,08  Chihuahua,2 500 a 4 999 hab.,35 a 39 años,3220,2988,1440,1548,232,125,107
764,Estados Unidos Mexicanos,08  Chihuahua,2 500 a 4 999 hab.,40 a 44 años,2643,2419,1273,1146,224,110,114
765,Estados Unidos Mexicanos,08  Chihuahua,2 500 a 4 999 hab.,45 a 49 años,2110,1936,1011,925,174,96,78
766,Estados Unidos Mexicanos,08  Chihuahua,2 500 a 4 999 hab.,50 a 54 años,1718,1547,769,778,171,88,83
767,Estados Unidos Mexicanos,08  Chihuahua,2 500 a 4 999 hab.,55 a 59 años,1239,1105,604,501,134,68,66
768,Estados Unidos Mexicanos,08  Chihuahua,2 500 a 4 999 hab.,60 a 64 años,1049,882,464,418,167,70,97
769,Estados Unidos Mexicanos,08  Chihuahua,2 500 a 4 999 hab.,65 y más años,2167,1665,846,819,502,267,235
770,Estados Unidos Mexicanos,08  Chihuahua,5 000 a 9 999 hab.,Total,34294,31656,15993,15663,2638,1314,1324
771,Estados Unidos Mexicanos,08  Chihuahua,5 000 a 9 999 hab.,15 a 19 años,7479,7285,3709,3576,194,116,78
772,Estados Unidos Mexicanos,08  Chihuahua,5 000 a 9 999 hab.,20 a 24 años,5323,5132,2505,2627,191,103,88
773,Estados Unidos Mexicanos,08  Chihuahua,5 000 a 9 999 hab.,25 a 29 años,3846,3641,1797,1844,205,104,101
774,Estados Unidos Mexicanos,08  Chihuahua,5 000 a 9 999 hab.,30 a 34 años,3514,3286,1630,1656,228,107,121
775,Estados Unidos Mexicanos,08  Chihuahua,5 000 a 9 999 hab.,35 a 39 años,3155,2920,1419,1501,235,115,120
776,Estados Unidos Mexicanos,08  Chihuahua,5 000 a 9 999 hab.,40 a 44 años,2762,2528,1344,1184,234,107,127
777,Estados Unidos Mexicanos,08  Chihuahua,5 000 a 9 999 hab.,45 a 49 años,2123,1899,956,943,224,113,111
778,Estados Unidos Mexicanos,08  Chihuahua,5 000 a 9 999 hab.,50 a 54 años,1712,1501,828,673,211,92,119
779,Estados Unidos Mexicanos,08  Chihuahua,5 000 a 9 999 hab.,55 a 59 años,1236,1063,582,481,173,85,88
780,Estados Unidos Mexicanos,08  Chihuahua,5 000 a 9 999 hab.,60 a 64 años,947,787,411,376,160,70,90
781,Estados Unidos Mexicanos,08  Chihuahua,5 000 a 9 999 hab.,65 y más años,2197,1614,812,802,583,302,281
782,Estados Unidos Mexicanos,08  Chihuahua,10 000 a 14 999 hab.,Total,43793,40681,20070,20611,3112,1383,1729
783,Estados Unidos Mexicanos,08  Chihuahua,10 000 a 14 999 hab.,15 a 19 años,9213,9038,4467,4571,175,90,85
784,Estados Unidos Mexicanos,08  Chihuahua,10 000 a 14 999 hab.,20 a 24 años,6891,6689,3203,3486,202,108,94
785,Estados Unidos Mexicanos,08  Chihuahua,10 000 a 14 999 hab.,25 a 29 años,4984,4785,2319,2466,199,74,125
786,Estados Unidos Mexicanos,08  Chihuahua,10 000 a 14 999 hab.,30 a 34 años,4421,4190,2001,2189,231,109,122
787,Estados Unidos Mexicanos,08  Chihuahua,10 000 a 14 999 hab.,35 a 39 años,3905,3650,1791,1859,255,127,128
788,Estados Unidos Mexicanos,08  Chihuahua,10 000 a 14 999 hab.,40 a 44 años,3483,3187,1632,1555,296,124,172
789,Estados Unidos Mexicanos,08  Chihuahua,10 000 a 14 999 hab.,45 a 49 años,2908,2591,1294,1297,317,127,190
790,Estados Unidos Mexicanos,08  Chihuahua,10 000 a 14 999 hab.,50 a 54 años,2269,2002,1028,974,267,109,158
791,Estados Unidos Mexicanos,08  Chihuahua,10 000 a 14 999 hab.,55 a 59 años,1674,1425,769,656,249,97,152
792,Estados Unidos Mexicanos,08  Chihuahua,10 000 a 14 999 hab.,60 a 64 años,1244,1028,526,502,216,92,124
793,Estados Unidos Mexicanos,08  Chihuahua,10 000 a 14 999 hab.,65 y más años,2801,2096,1040,1056,705,326,379
794,Estados Unidos Mexicanos,08  Chihuahua,15 000 a 19 999 hab.,Total,10455,9645,4648,4997,810,394,416
795,Estados Unidos Mexicanos,08  Chihuahua,15 000 a 19 999 hab.,15 a 19 años,2156,2099,1002,1097,57,36,21
796,Estados Unidos Mexicanos,08  Chihuahua,15 000 a 19 999 hab.,20 a 24 años,1424,1388,640,748,36,24,12
797,Estados Unidos Mexicanos,08  Chihuahua,15 000 a 19 999 hab.,25 a 29 años,1222,1180,567,613,42,23,19
798,Estados Unidos Mexicanos,08  Chihuahua,15 000 a 19 999 hab.,30 a 34 años,944,902,413,489,42,15,27
799,Estados Unidos Mexicanos,08  Chihuahua,15 000 a 19 999 hab.,35 a 39 años,976,904,409,495,72,41,31
800,Estados Unidos Mexicanos,08  Chihuahua,15 000 a 19 999 hab.,40 a 44 años,900,815,399,416,85,34,51
801,Estados Unidos Mexicanos,08  Chihuahua,15 000 a 19 999 hab.,45 a 49 años,765,673,351,322,92,39,53
802,Estados Unidos Mexicanos,08  Chihuahua,15 000 a 19 999 hab.,50 a 54 años,542,467,249,218,75,38,37
803,Estados Unidos Mexicanos,08  Chihuahua,15 000 a 19 999 hab.,55 a 59 años,447,389,210,179,58,30,28
804,Estados Unidos Mexicanos,08  Chihuahua,15 000 a 19 999 hab.,60 a 64 años,290,246,123,123,44,20,24
805,Estados Unidos Mexicanos,08  Chihuahua,15 000 a 19 999 hab.,65 y más años,789,582,285,297,207,94,113
806,Estados Unidos Mexicanos,08  Chihuahua,20 000 a 49 999 hab.,Total,71164,67091,32660,34431,4073,1944,2129
807,Estados Unidos Mexicanos,08  Chihuahua,20 000 a 49 999 hab.,15 a 19 años,15314,15035,7419,7616,279,166,113
808,Estados Unidos Mexicanos,08  Chihuahua,20 000 a 49 999 hab.,20 a 24 años,10721,10412,4857,5555,309,138,171
809,Estados Unidos Mexicanos,08  Chihuahua,20 000 a 49 999 hab.,25 a 29 años,8101,7815,3733,4082,286,138,148
810,Estados Unidos Mexicanos,08  Chihuahua,20 000 a 49 999 hab.,30 a 34 años,7110,6813,3176,3637,297,145,152
811,Estados Unidos Mexicanos,08  Chihuahua,20 000 a 49 999 hab.,35 a 39 años,6761,6392,3130,3262,369,174,195
812,Estados Unidos Mexicanos,08  Chihuahua,20 000 a 49 999 hab.,40 a 44 años,5492,5170,2591,2579,322,133,189
813,Estados Unidos Mexicanos,08  Chihuahua,20 000 a 49 999 hab.,45 a 49 años,4523,4181,2172,2009,342,164,178
814,Estados Unidos Mexicanos,08  Chihuahua,20 000 a 49 999 hab.,50 a 54 años,3688,3384,1675,1709,304,132,172
815,Estados Unidos Mexicanos,08  Chihuahua,20 000 a 49 999 hab.,55 a 59 años,2784,2491,1261,1230,293,138,155
816,Estados Unidos Mexicanos,08  Chihuahua,20 000 a 49 999 hab.,60 a 64 años,1991,1712,849,863,279,135,144
817,Estados Unidos Mexicanos,08  Chihuahua,20 000 a 49 999 hab.,65 y más años,4679,3686,1797,1889,993,481,512
818,Estados Unidos Mexicanos,08  Chihuahua,50 000 a 99 999 hab.,Total,82501,77925,37405,40520,4576,2043,2533
819,Estados Unidos Mexicanos,08  Chihuahua,50 000 a 99 999 hab.,15 a 19 años,17621,17353,8438,8915,268,158,110
820,Estados Unidos Mexicanos,08  Chihuahua,50 000 a 99 999 hab.,20 a 24 años,13055,12771,5983,6788,284,134,150
821,Estados Unidos Mexicanos,08  Chihuahua,50 000 a 99 999 hab.,25 a 29 años,9484,9214,4241,4973,270,130,140
822,Estados Unidos Mexicanos,08  Chihuahua,50 000 a 99 999 hab.,30 a 34 años,8206,7895,3712,4183,311,143,168
823,Estados Unidos Mexicanos,08  Chihuahua,50 000 a 99 999 hab.,35 a 39 años,7281,6901,3346,3555,380,189,191
824,Estados Unidos Mexicanos,08  Chihuahua,50 000 a 99 999 hab.,40 a 44 años,6645,6208,3039,3169,437,182,255
825,Estados Unidos Mexicanos,08  Chihuahua,50 000 a 99 999 hab.,45 a 49 años,5122,4724,2329,2395,398,175,223
826,Estados Unidos Mexicanos,08  Chihuahua,50 000 a 99 999 hab.,50 a 54 años,4202,3798,1923,1875,404,174,230
827,Estados Unidos Mexicanos,08  Chihuahua,50 000 a 99 999 hab.,55 a 59 años,3135,2789,1438,1351,346,141,205
828,Estados Unidos Mexicanos,08  Chihuahua,50 000 a 99 999 hab.,60 a 64 años,2359,1966,902,1064,393,154,239
829,Estados Unidos Mexicanos,08  Chihuahua,50 000 a 99 999 hab.,65 y más años,5391,4306,2054,2252,1085,463,622
830,Estados Unidos Mexicanos,08  Chihuahua,100 000  y más hab.,Total,562930,536751,254074,282677,26179,10571,15608
831,Estados Unidos Mexicanos,08  Chihuahua,100 000  y más hab.,15 a 19 años,118267,116312,56104,60208,1955,1044,911
832,Estados Unidos Mexicanos,08  Chihuahua,100 000  y más hab.,20 a 24 años,96001,93996,44618,49378,2005,982,1023
833,Estados Unidos Mexicanos,08  Chihuahua,100 000  y más hab.,25 a 29 años,68742,67004,31317,35687,1738,777,961
834,Estados Unidos Mexicanos,08  Chihuahua,100 000  y más hab.,30 a 34 años,54555,52728,24795,27933,1827,771,1056
835,Estados Unidos Mexicanos,08  Chihuahua,100 000  y más hab.,35 a 39 años,48092,46171,21621,24550,1921,757,1164
836,Estados Unidos Mexicanos,08  Chihuahua,100 000  y más hab.,40 a 44 años,41061,38973,18653,20320,2088,769,1319
837,Estados Unidos Mexicanos,08  Chihuahua,100 000  y más hab.,45 a 49 años,34052,31897,15105,16792,2155,781,1374
838,Estados Unidos Mexicanos,08  Chihuahua,100 000  y más hab.,50 a 54 años,28501,26236,12358,13878,2265,831,1434
839,Estados Unidos Mexicanos,08  Chihuahua,100 000  y más hab.,55 a 59 años,22531,20477,9831,10646,2054,786,1268
840,Estados Unidos Mexicanos,08  Chihuahua,100 000  y más hab.,60 a 64 años,15747,13949,6543,7406,1798,685,1113
841,Estados Unidos Mexicanos,08  Chihuahua,100 000  y más hab.,65 y más años,35381,29008,13129,15879,6373,2388,3985
842,Estados Unidos Mexicanos,09  Distrito Federal,Total,Total,5556827,5230018,2515859,2714159,326809,80730,246079
843,Estados Unidos Mexicanos,09  Distrito Federal,Total,15 a 19 años,1032670,1013253,484928,528325,19417,6015,13402
844,Estados Unidos Mexicanos,09  Distrito Federal,Total,20 a 24 años,979019,956409,461600,494809,22610,6568,16042
845,Estados Unidos Mexicanos,09  Distrito Federal,Total,25 a 29 años,785775,762146,371355,390791,23629,6715,16914
846,Estados Unidos Mexicanos,09  Distrito Federal,Total,30 a 34 años,597691,573016,281145,291871,24675,6628,18047
847,Estados Unidos Mexicanos,09  Distrito Federal,Total,35 a 39 años,474299,444121,217974,226147,30178,7631,22547
848,Estados Unidos Mexicanos,09  Distrito Federal,Total,40 a 44 años,374001,344497,168257,176240,29504,7318,22186
849,Estados Unidos Mexicanos,09  Distrito Federal,Total,45 a 49 años,320901,290249,139508,150741,30652,7020,23632
850,Estados Unidos Mexicanos,09  Distrito Federal,Total,50 a 54 años,270750,240337,114025,126312,30413,6712,23701
851,Estados Unidos Mexicanos,09  Distrito Federal,Total,55 a 59 años,219990,193543,93342,100201,26447,6278,20169
852,Estados Unidos Mexicanos,09  Distrito Federal,Total,60 a 64 años,154150,133855,62169,71686,20295,4675,15620
853,Estados Unidos Mexicanos,09  Distrito Federal,Total,65 y más años,347581,278592,121556,157036,68989,15170,53819
854,Estados Unidos Mexicanos,09  Distrito Federal,1 a 2 499 hab.,Total,0,0,0,0,0,0,0
855,Estados Unidos Mexicanos,09  Distrito Federal,2 500 a 4 999 hab.,Total,0,0,0,0,0,0,0
856,Estados Unidos Mexicanos,09  Distrito Federal,5 000 a 9 999 hab.,Total,0,0,0,0,0,0,0
857,Estados Unidos Mexicanos,09  Distrito Federal,10 000 a 14 999 hab.,Total,0,0,0,0,0,0,0
858,Estados Unidos Mexicanos,09  Distrito Federal,15 000 a 19 999 hab.,Total,0,0,0,0,0,0,0
859,Estados Unidos Mexicanos,09  Distrito Federal,20 000 a 49 999 hab.,Total,0,0,0,0,0,0,0
860,Estados Unidos Mexicanos,09  Distrito Federal,50 000 a 99 999 hab.,Total,82827,73972,37821,36151,8855,2733,6122
861,Estados Unidos Mexicanos,09  Distrito Federal,50 000 a 99 999 hab.,15 a 19 años,17183,16753,8402,8351,430,180,250
862,Estados Unidos Mexicanos,09  Distrito Federal,50 000 a 99 999 hab.,20 a 24 años,14628,14021,6869,7152,607,200,407
863,Estados Unidos Mexicanos,09  Distrito Federal,50 000 a 99 999 hab.,25 a 29 años,10975,10294,5182,5112,681,248,433
864,Estados Unidos Mexicanos,09  Distrito Federal,50 000 a 99 999 hab.,30 a 34 años,8583,7858,4025,3833,725,229,496
865,Estados Unidos Mexicanos,09  Distrito Federal,50 000 a 99 999 hab.,35 a 39 años,7304,6428,3290,3138,876,271,605
866,Estados Unidos Mexicanos,09  Distrito Federal,50 000 a 99 999 hab.,40 a 44 años,6065,5141,2684,2457,924,275,649
867,Estados Unidos Mexicanos,09  Distrito Federal,50 000 a 99 999 hab.,45 a 49 años,5206,4345,2361,1984,861,229,632
868,Estados Unidos Mexicanos,09  Distrito Federal,50 000 a 99 999 hab.,50 a 54 años,3957,3054,1717,1337,903,253,650
869,Estados Unidos Mexicanos,09  Distrito Federal,50 000 a 99 999 hab.,55 a 59 años,2891,2176,1249,927,715,224,491
870,Estados Unidos Mexicanos,09  Distrito Federal,50 000 a 99 999 hab.,60 a 64 años,1762,1285,675,610,477,143,334
871,Estados Unidos Mexicanos,09  Distrito Federal,50 000 a 99 999 hab.,65 y más años,4273,2617,1367,1250,1656,481,1175
872,Estados Unidos Mexicanos,09  Distrito Federal,100 000  y más hab.,Total,5474000,5156046,2478038,2678008,317954,77997,239957
873,Estados Unidos Mexicanos,09  Distrito Federal,100 000  y más hab.,15 a 19 años,1015487,996500,476526,519974,18987,5835,13152
874,Estados Unidos Mexicanos,09  Distrito Federal,100 000  y más hab.,20 a 24 años,964391,942388,454731,487657,22003,6368,15635
875,Estados Unidos Mexicanos,09  Distrito Federal,100 000  y más hab.,25 a 29 años,774800,751852,366173,385679,22948,6467,16481
876,Estados Unidos Mexicanos,09  Distrito Federal,100 000  y más hab.,30 a 34 años,589108,565158,277120,288038,23950,6399,17551
877,Estados Unidos Mexicanos,09  Distrito Federal,100 000  y más hab.,35 a 39 años,466995,437693,214684,223009,29302,7360,21942
878,Estados Unidos Mexicanos,09  Distrito Federal,100 000  y más hab.,40 a 44 años,367936,339356,165573,173783,28580,7043,21537
879,Estados Unidos Mexicanos,09  Distrito Federal,100 000  y más hab.,45 a 49 años,315695,285904,137147,148757,29791,6791,23000
880,Estados Unidos Mexicanos,09  Distrito Federal,100 000  y más hab.,50 a 54 años,266793,237283,112308,124975,29510,6459,23051
881,Estados Unidos Mexicanos,09  Distrito Federal,100 000  y más hab.,55 a 59 años,217099,191367,92093,99274,25732,6054,19678
882,Estados Unidos Mexicanos,09  Distrito Federal,100 000  y más hab.,60 a 64 años,152388,132570,61494,71076,19818,4532,15286
883,Estados Unidos Mexicanos,09  Distrito Federal,100 000  y más hab.,65 y más años,343308,275975,120189,155786,67333,14689,52644
884,Estados Unidos Mexicanos,10  Durango,Total,Total,630469,570757,282978,287779,59712,28495,31217
885,Estados Unidos Mexicanos,10  Durango,Total,15 a 19 años,137705,132725,66034,66691,4980,2808,2172
886,Estados Unidos Mexicanos,10  Durango,Total,20 a 24 años,97097,92661,45063,47598,4436,2186,2250
887,Estados Unidos Mexicanos,10  Durango,Total,25 a 29 años,70898,66774,32237,34537,4124,1918,2206
888,Estados Unidos Mexicanos,10  Durango,Total,30 a 34 años,59696,55602,26993,28609,4094,1932,2162
889,Estados Unidos Mexicanos,10  Durango,Total,35 a 39 años,54465,49763,24517,25246,4702,2146,2556
890,Estados Unidos Mexicanos,10  Durango,Total,40 a 44 años,47709,42920,21390,21530,4789,2153,2636
891,Estados Unidos Mexicanos,10  Durango,Total,45 a 49 años,40817,36011,18134,17877,4806,2136,2670
892,Estados Unidos Mexicanos,10  Durango,Total,50 a 54 años,32438,27868,14207,13661,4570,2069,2501
893,Estados Unidos Mexicanos,10  Durango,Total,55 a 59 años,24585,20687,10930,9757,3898,1769,2129
894,Estados Unidos Mexicanos,10  Durango,Total,60 a 64 años,18441,14408,7355,7053,4033,1825,2208
895,Estados Unidos Mexicanos,10  Durango,Total,65 y más años,46618,31338,16118,15220,15280,7553,7727
896,Estados Unidos Mexicanos,10  Durango,1 a 2 499 hab.,Total,296954,258249,132655,125594,38705,19356,19349
897,Estados Unidos Mexicanos,10  Durango,1 a 2 499 hab.,15 a 19 años,65238,61898,31470,30428,3340,1916,1424
898,Estados Unidos Mexicanos,10  Durango,1 a 2 499 hab.,20 a 24 años,42392,39563,19736,19827,2829,1452,1377
899,Estados Unidos Mexicanos,10  Durango,1 a 2 499 hab.,25 a 29 años,31130,28498,14126,14372,2632,1207,1425
900,Estados Unidos Mexicanos,10  Durango,1 a 2 499 hab.,30 a 34 años,27417,24802,12371,12431,2615,1250,1365
901,Estados Unidos Mexicanos,10  Durango,1 a 2 499 hab.,35 a 39 años,26644,23522,11892,11630,3122,1488,1634
902,Estados Unidos Mexicanos,10  Durango,1 a 2 499 hab.,40 a 44 años,23434,20319,10597,9722,3115,1463,1652
903,Estados Unidos Mexicanos,10  Durango,1 a 2 499 hab.,45 a 49 años,19987,16914,8865,8049,3073,1441,1632
904,Estados Unidos Mexicanos,10  Durango,1 a 2 499 hab.,50 a 54 años,15793,12853,6975,5878,2940,1399,1541
905,Estados Unidos Mexicanos,10  Durango,1 a 2 499 hab.,55 a 59 años,11742,9271,5212,4059,2471,1208,1263
906,Estados Unidos Mexicanos,10  Durango,1 a 2 499 hab.,60 a 64 años,9224,6567,3533,3034,2657,1276,1381
