,Estados Unidos Mexicanos,Entidad federativa,Sexo,6 años,7 a 12 años,13 y 14 años,15 a 17 años,18 y 19 años,20 a 24 años,25 a 29 años,De 6 a 29 años que no asisten
57,Estados Unidos Mexicanos,Nayarit,Hombres,1020,10411,2582,1089,275,210,112,55041
58,Estados Unidos Mexicanos,Nayarit,Mujeres,1070,10179,2354,846,188,211,166,56997
59,Estados Unidos Mexicanos,Nuevo León,Total,4667,63748,14997,8646,2773,2840,983,274061
60,Estados Unidos Mexicanos,Nuevo León,Hombres,2245,32984,8844,5534,1960,1934,538,129338
61,Estados Unidos Mexicanos,Nuevo León,Mujeres,2422,30764,6153,3112,813,906,445,144723
62,Estados Unidos Mexicanos,Oaxaca,Total,8127,78798,20301,9108,2060,1941,1149,591221
63,Estados Unidos Mexicanos,Oaxaca,Hombres,4036,41894,12106,5825,1292,1038,527,285217
64,Estados Unidos Mexicanos,Oaxaca,Mujeres,4091,36904,8195,3283,768,903,622,306004
65,Estados Unidos Mexicanos,Puebla,Total,6558,80271,20295,10564,2890,2818,1310,684844
66,Estados Unidos Mexicanos,Puebla,Hombres,3445,43108,11659,6179,1631,1540,649,330172
67,Estados Unidos Mexicanos,Puebla,Mujeres,3113,37163,8636,4385,1259,1278,661,354672
68,Estados Unidos Mexicanos,Querétaro,Total,1862,14701,3541,1682,513,352,184,119106
69,Estados Unidos Mexicanos,Querétaro,Hombres,951,7811,2034,1043,303,197,85,58006
70,Estados Unidos Mexicanos,Querétaro,Mujeres,911,6890,1507,639,210,155,99,61100
71,Estados Unidos Mexicanos,"Quintana Roo, Territorio",Total,305,2606,551,209,33,31,21,9792
72,Estados Unidos Mexicanos,"Quintana Roo, Territorio",Hombres,160,1371,344,143,28,22,13,4860
73,Estados Unidos Mexicanos,"Quintana Roo, Territorio",Mujeres,145,1235,207,66,5,9,8,4932
74,Estados Unidos Mexicanos,San Luis Potosí,Total,4981,49895,12595,6212,1627,1407,678,360719
75,Estados Unidos Mexicanos,San Luis Potosí,Hombres,2559,26121,7259,3698,992,761,324,176362
76,Estados Unidos Mexicanos,San Luis Potosí,Mujeres,2422,23774,5336,2514,635,646,354,184357
77,Estados Unidos Mexicanos,Sinaloa,Total,5405,52311,12947,5053,1064,933,500,244002
78,Estados Unidos Mexicanos,Sinaloa,Hombres,2645,26540,6803,2905,636,499,219,118887
79,Estados Unidos Mexicanos,Sinaloa,Mujeres,2760,25771,6144,2148,428,434,281,125115
80,Estados Unidos Mexicanos,Sonora,Total,2353,41366,12051,6175,1086,725,410,194377
81,Estados Unidos Mexicanos,Sonora,Hombres,1146,20960,6457,3413,665,362,167,94633
82,Estados Unidos Mexicanos,Sonora,Mujeres,1207,20406,5594,2762,421,363,243,99744
83,Estados Unidos Mexicanos,Tabasco,Total,4465,38933,8656,2490,530,401,238,137505
84,Estados Unidos Mexicanos,Tabasco,Hombres,2291,20289,5170,1511,308,206,97,65794
85,Estados Unidos Mexicanos,Tabasco,Mujeres,2174,18644,3486,979,222,195,141,71711
86,Estados Unidos Mexicanos,Tamaulipas,Total,3667,55201,14032,7975,1852,1343,503,277834
87,Estados Unidos Mexicanos,Tamaulipas,Hombres,1799,28586,7979,4547,1053,666,210,133485
88,Estados Unidos Mexicanos,Tamaulipas,Mujeres,1868,26615,6053,3428,799,677,293,144349
89,Estados Unidos Mexicanos,Tlaxcala,Total,1624,17570,4532,2318,619,479,205,113790
90,Estados Unidos Mexicanos,Tlaxcala,Hombres,851,9526,2726,1461,399,289,113,55637
91,Estados Unidos Mexicanos,Tlaxcala,Mujeres,773,8044,1806,857,220,190,92,58153
92,Estados Unidos Mexicanos,Veracruz,Total,8136,124573,30672,16456,4309,3279,1389,856312
93,Estados Unidos Mexicanos,Veracruz,Hombres,4179,66039,17846,9904,2560,1775,634,414404
94,Estados Unidos Mexicanos,Veracruz,Mujeres,3957,58534,12826,6552,1749,1504,755,441908
95,Estados Unidos Mexicanos,Yucatán,Total,3970,45562,8691,4656,1183,1013,486,178668
96,Estados Unidos Mexicanos,Yucatán,Hombres,2027,24138,5370,2965,743,583,231,84449
97,Estados Unidos Mexicanos,Yucatán,Mujeres,1943,21424,3321,1691,440,430,255,94219
98,Estados Unidos Mexicanos,Zacatecas,Total,4079,39531,10008,4130,849,749,381,281491
99,Estados Unidos Mexicanos,Zacatecas,Hombres,2082,20373,5658,2440,510,384,189,138099
100,Estados Unidos Mexicanos,Zacatecas,Mujeres,1997,19158,4350,1690,339,365,192,143392
101,Estados Unidos Mexicanos,Complementarios /a,Total,17,192,63,75,30,11,2,6456
102,Estados Unidos Mexicanos,Complementarios /a,Hombres,11,123,44,42,16,3,2,1564
103,Estados Unidos Mexicanos,Complementarios /a,Mujeres,6,69,19,33,14,8,0,4892
