,Estados Unidos Mexicanos,Entidad federativa,Área urbana y rural ,Alfabetismo,Sexo,Población de 6 años y más,6 años,7 años,8 años,9 años,De 10 a 14 años,De 15 a 19 años,De 20 a 24 años,De 25 a 29 años,De 30 a 39 años,De 40 a 49 años,De 50 a 59 años,De 60 y más años,No indicados
176,Estados Unidos Mexicanos,Colima,Urbana,Alfabetos,Total,58874,445,1264,965,1842,10666,8745,6841,5128,8453,6214,3734,4052,525
177,Estados Unidos Mexicanos,Colima,Urbana,Alfabetos,Hombres,29250,198,616,869,910,5402,4103,3233,2499,4164,3100,1927,1893,336
178,Estados Unidos Mexicanos,Colima,Urbana,Alfabetos,Mujeres,29624,247,648,96,932,5264,4642,3608,2629,4289,3114,1807,2159,189
179,Estados Unidos Mexicanos,Colima,Urbana,Analfabetos,Total,22144,2731,1812,2189,696,1882,1213,1205,1062,2514,2068,1545,2585,642
180,Estados Unidos Mexicanos,Colima,Urbana,Analfabetos,Hombres,10079,1371,952,604,355,1006,596,525,446,1075,938,662,1099,450
181,Estados Unidos Mexicanos,Colima,Urbana,Analfabetos,Mujeres,12065,1360,860,1585,341,876,617,680,616,1439,1130,883,1486,192
182,Estados Unidos Mexicanos,Colima,Rural,Total,Total,50081,2382,2075,1928,1687,8046,6408,4967,4011,6794,5123,3007,3213,440
183,Estados Unidos Mexicanos,Colima,Rural,Total,Hombres,26047,1194,1042,1074,848,4135,3283,2509,1985,3512,2725,1654,1792,294
184,Estados Unidos Mexicanos,Colima,Rural,Total,Mujeres,24034,1188,1033,854,839,3911,3125,2458,2026,3282,2398,1353,1421,146
185,Estados Unidos Mexicanos,Colima,Rural,Alfabetos,Total,31071,184,430,800,921,5880,5159,3951,2935,4493,3187,1616,1387,128
186,Estados Unidos Mexicanos,Colima,Rural,Alfabetos,Hombres,16151,92,219,383,439,2945,2593,2037,1486,2406,1713,955,801,82
187,Estados Unidos Mexicanos,Colima,Rural,Alfabetos,Mujeres,14920,92,211,417,482,2935,2566,1914,1449,2087,1474,661,586,46
188,Estados Unidos Mexicanos,Colima,Rural,Analfabetos,Total,19010,2198,1645,1128,766,2166,1249,1016,1076,2301,1936,1391,1826,312
189,Estados Unidos Mexicanos,Colima,Rural,Analfabetos,Hombres,9896,1102,823,691,409,1190,690,472,499,1106,1012,699,991,212
190,Estados Unidos Mexicanos,Colima,Rural,Analfabetos,Mujeres,9114,1096,822,437,357,976,559,544,577,1195,924,692,835,100
191,Estados Unidos Mexicanos,Chiapas,Total,Total,Total,963326,43945,37197,43835,29700,157742,125845,107140,92898,130165,80515,48699,57527,8118
192,Estados Unidos Mexicanos,Chiapas,Total,Total,Hombres,487428,22425,19268,22245,15327,83404,61900,50141,44504,66453,41397,25160,30106,5098
193,Estados Unidos Mexicanos,Chiapas,Total,Total,Mujeres,475898,21520,17929,21590,14373,74338,63945,56999,48394,63712,39118,23539,27421,3020
194,Estados Unidos Mexicanos,Chiapas,Total,Alfabetos,Total,378593,2133,5143,9068,9454,72564,65126,53706,43587,56761,28884,15433,14627,2107
195,Estados Unidos Mexicanos,Chiapas,Total,Alfabetos,Hombres,218338,1110,2722,4823,4950,39605,35176,29322,24878,35433,19251,10397,9385,1286
196,Estados Unidos Mexicanos,Chiapas,Total,Alfabetos,Mujeres,160255,1023,2421,4245,4504,32959,29950,24384,18709,21328,9633,5036,5242,821
197,Estados Unidos Mexicanos,Chiapas,Total,Analfabetos,Total,584733,41812,32054,34767,20246,85178,60719,53434,49311,73404,51631,33266,42900,6011
198,Estados Unidos Mexicanos,Chiapas,Total,Analfabetos,Hombres,269090,21315,16546,17422,10377,43799,26724,20819,19626,31020,22146,14763,20721,3812
199,Estados Unidos Mexicanos,Chiapas,Total,Analfabetos,Mujeres,315643,20497,15508,17345,9869,41379,33995,32615,29685,42384,29485,18503,22179,2199
200,Estados Unidos Mexicanos,Chiapas,Urbana,Total,Total,233587,8849,8503,9017,7195,37908,30911,24502,20719,32165,20783,13890,16615,2530
201,Estados Unidos Mexicanos,Chiapas,Urbana,Total,Hombres,110918,4439,4381,4489,3639,19063,14266,10733,9127,15369,9900,6622,7458,1432
202,Estados Unidos Mexicanos,Chiapas,Urbana,Total,Mujeres,122669,4410,4122,4528,3556,18845,16645,13769,11592,16796,10883,7268,9157,1098
203,Estados Unidos Mexicanos,Chiapas,Urbana,Alfabetos,Total,141327,965,2498,3924,4088,26395,22475,17493,14234,20871,12224,7474,7549,1137
204,Estados Unidos Mexicanos,Chiapas,Urbana,Alfabetos,Hombres,73568,489,1323,2017,2122,13579,10950,8258,7018,11428,7081,4459,4233,611
205,Estados Unidos Mexicanos,Chiapas,Urbana,Alfabetos,Mujeres,67759,476,1175,1907,1966,12816,11525,9235,7216,9443,5143,3015,3316,526
206,Estados Unidos Mexicanos,Chiapas,Urbana,Analfabetos,Total,92260,7884,6005,5093,3107,11513,8436,7009,6485,11294,8559,6416,9066,1393
207,Estados Unidos Mexicanos,Chiapas,Urbana,Analfabetos,Hombres,37350,3950,3058,2472,1517,5484,3316,2475,2109,3941,2819,2163,3225,821
208,Estados Unidos Mexicanos,Chiapas,Urbana,Analfabetos,Mujeres,54910,3934,2947,2621,1590,6029,5120,4534,4376,7353,5740,4253,5841,572
209,Estados Unidos Mexicanos,Chiapas,Rural,Total,Total,729739,35096,28694,34818,22505,119834,94934,82638,72179,98000,59732,34809,40912,5588
210,Estados Unidos Mexicanos,Chiapas,Rural,Total,Hombres,376510,17986,14887,17756,11688,64341,47634,39408,35377,51084,31497,18538,22648,3666
211,Estados Unidos Mexicanos,Chiapas,Rural,Total,Mujeres,353229,17110,13807,17062,10817,55493,47300,43230,36802,46916,28235,16271,18264,1922
212,Estados Unidos Mexicanos,Chiapas,Rural,Alfabetos,Total,237266,1168,2645,5144,5366,46169,42651,36213,29353,35890,16660,7959,7078,970
213,Estados Unidos Mexicanos,Chiapas,Rural,Alfabetos,Hombres,144770,621,1399,2806,2828,26026,24226,21064,17860,24005,12170,5938,5152,675
214,Estados Unidos Mexicanos,Chiapas,Rural,Alfabetos,Mujeres,92496,547,1246,2338,2538,20143,18425,15149,11493,11885,4490,2021,1926,295
215,Estados Unidos Mexicanos,Chiapas,Rural,Analfabetos,Total,492473,33928,26049,29674,17139,73665,52283,46425,42826,62110,43072,26850,33834,4618
216,Estados Unidos Mexicanos,Chiapas,Rural,Analfabetos,Hombres,231740,17365,13488,14950,8860,38315,23408,18344,17517,27079,19327,12600,17496,2991
217,Estados Unidos Mexicanos,Chiapas,Rural,Analfabetos,Mujeres,260733,16563,12561,14724,8279,35350,28875,28081,25309,35031,23745,14250,16338,1627
218,Estados Unidos Mexicanos,Chihuahua,Total,Total,Total,976666,38860,36618,35558,30539,150918,124645,109852,86550,136848,90247,66194,61985,7852
219,Estados Unidos Mexicanos,Chihuahua,Total,Total,Hombres,493414,19769,18643,18073,15442,76842,61392,53269,42332,69247,45859,34683,32754,5109
220,Estados Unidos Mexicanos,Chihuahua,Total,Total,Mujeres,483252,19091,17975,17485,15097,74076,63253,56583,44218,67601,44388,31511,29231,2743
221,Estados Unidos Mexicanos,Chihuahua,Total,Alfabetos,Total,731756,4182,13635,21444,22689,127093,107436,93939,72262,112045,69805,45911,37618,3697
222,Estados Unidos Mexicanos,Chihuahua,Total,Alfabetos,Hombres,366654,1998,6686,10668,11257,63665,52286,45274,35422,56749,35938,24278,20206,2227
223,Estados Unidos Mexicanos,Chihuahua,Total,Alfabetos,Mujeres,365102,2184,6949,10776,11432,63428,55150,48665,36840,55296,33867,21633,17412,1470
224,Estados Unidos Mexicanos,Chihuahua,Total,Analfabetos,Total,244910,34678,22983,14114,7850,23825,17209,15913,14288,24803,20442,20283,24367,4155
225,Estados Unidos Mexicanos,Chihuahua,Total,Analfabetos,Hombres,126760,17771,11957,7405,4185,13177,9106,7995,6910,12498,9921,10405,12548,2882
226,Estados Unidos Mexicanos,Chihuahua,Total,Analfabetos,Mujeres,118150,16907,11026,6709,3665,10648,8103,7918,7378,12305,10521,9878,11819,1273
227,Estados Unidos Mexicanos,Chihuahua,Urbana,Total,Total,558312,21475,20809,19587,17344,85453,69967,61572,50049,81467,52864,38629,35013,4083
228,Estados Unidos Mexicanos,Chihuahua,Urbana,Total,Hombres,274479,10971,10592,9946,8773,42360,33154,30275,23251,39512,25812,19378,17544,2911
229,Estados Unidos Mexicanos,Chihuahua,Urbana,Total,Mujeres,283833,10504,10217,9641,8571,43093,36813,31297,26798,41955,27052,19251,17469,1172
230,Estados Unidos Mexicanos,Chihuahua,Urbana,Alfabetos,Total,457402,2568,8491,13456,14092,77967,64952,56488,45265,72156,45073,30075,24515,2304
231,Estados Unidos Mexicanos,Chihuahua,Urbana,Alfabetos,Hombres,225710,1262,4224,6734,7051,38366,30690,27877,21205,35410,22555,15629,13006,1701
232,Estados Unidos Mexicanos,Chihuahua,Urbana,Alfabetos,Mujeres,231692,1306,4267,6722,7041,39601,34262,28611,24060,36746,22518,14446,11509,603
233,Estados Unidos Mexicanos,Chihuahua,Urbana,Analfabetos,Total,100910,18907,12318,6131,3252,7486,5015,5084,4784,9311,7791,8554,10498,1779
234,Estados Unidos Mexicanos,Chihuahua,Urbana,Analfabetos,Hombres,48769,9709,6368,3212,1722,3994,2464,2398,2046,4102,3257,3749,4538,1210
235,Estados Unidos Mexicanos,Chihuahua,Urbana,Analfabetos,Mujeres,52141,9198,5950,2919,1530,3492,2551,2686,2738,5209,4534,4805,5960,569
236,Estados Unidos Mexicanos,Chihuahua,Rural,Total,Total,418354,17385,15809,15971,13195,65465,54678,48280,36501,55381,37383,27565,26972,3769
237,Estados Unidos Mexicanos,Chihuahua,Rural,Total,Hombres,218935,8798,8051,8127,6669,34482,28238,22994,19081,29735,20047,15305,15210,2198
238,Estados Unidos Mexicanos,Chihuahua,Rural,Total,Mujeres,199419,8587,7758,7844,6526,30983,26440,25286,17420,25646,17336,12260,11762,1571
239,Estados Unidos Mexicanos,Chihuahua,Rural,Alfabetos,Total,274354,1614,5144,7988,8597,49126,42484,37451,26997,39889,24732,15836,13103,1393
240,Estados Unidos Mexicanos,Chihuahua,Rural,Alfabetos,Hombres,140944,736,2462,3934,4206,25299,21596,17397,14217,21339,13383,8649,7200,526
241,Estados Unidos Mexicanos,Chihuahua,Rural,Alfabetos,Mujeres,133410,878,2682,4054,4391,23827,20888,20054,12780,18550,11349,7187,5903,867
242,Estados Unidos Mexicanos,Chihuahua,Rural,Analfabetos,Total,144000,15771,10665,7983,4598,16339,12194,10829,9504,15492,12651,11729,13869,2376
243,Estados Unidos Mexicanos,Chihuahua,Rural,Analfabetos,Hombres,77991,8062,5589,4193,2463,9183,6642,5597,4864,8396,6664,6656,8010,1672
244,Estados Unidos Mexicanos,Chihuahua,Rural,Analfabetos,Mujeres,66009,7709,5076,3790,2135,7156,5552,5232,4640,7096,5987,5073,5859,704
245,Estados Unidos Mexicanos,Distrito Federal,Total,Total,Total,3938500,142175,134254,129141,115099,544222,484378,445217,387894,622184,391036,276529,252681,13690
246,Estados Unidos Mexicanos,Distrito Federal,Total,Total,Hombres,1857438,71370,68335,64510,57594,267350,223324,205163,180572,297279,184296,128474,101205,7966
247,Estados Unidos Mexicanos,Distrito Federal,Total,Total,Mujeres,2081062,70805,65919,64631,57505,276872,261054,240054,207322,324905,206740,148055,151476,5724
248,Estados Unidos Mexicanos,Distrito Federal,Total,Alfabetos,Total,3285396,37057,80583,100025,98863,505225,442091,394875,343028,536869,329529,219999,186697,10555
249,Estados Unidos Mexicanos,Distrito Federal,Total,Alfabetos,Hombres,1632831,19594,42018,50547,49891,253711,210922,192504,168262,272460,167694,113300,85117,6811
250,Estados Unidos Mexicanos,Distrito Federal,Total,Alfabetos,Mujeres,1652565,17463,38565,49478,48972,251514,231169,202371,174766,264409,161835,106699,101580,3744
251,Estados Unidos Mexicanos,Distrito Federal,Total,Analfabetos,Total,653104,105118,53671,29116,16236,38997,42287,50342,44866,85315,61507,56530,65984,3135
252,Estados Unidos Mexicanos,Distrito Federal,Total,Analfabetos,Hombres,224607,51776,26317,13963,7703,13639,12402,12659,12310,24819,16602,15174,16088,1155
253,Estados Unidos Mexicanos,Distrito Federal,Total,Analfabetos,Mujeres,428497,53342,27354,15153,8533,25358,29885,37683,32556,60496,44905,41356,49896,1980
254,Estados Unidos Mexicanos,Distrito Federal,Urbana,Total,Total,3771378,132193,125025,120144,107557,519234,466081,428718,372398,597367,377691,267307,244214,13449
255,Estados Unidos Mexicanos,Distrito Federal,Urbana,Total,Hombres,1775841,66231,63581,59979,53799,254815,214414,197583,173352,284937,177726,123865,97738,7821
256,Estados Unidos Mexicanos,Distrito Federal,Urbana,Total,Mujeres,1995537,65962,61444,60165,53758,264419,251667,231135,199046,312430,199965,143442,146476,5628
257,Estados Unidos Mexicanos,Distrito Federal,Urbana,Alfabetos,Total,3174132,35131,76009,93986,92916,484308,427005,382384,331702,519905,321229,215495,183607,10455
258,Estados Unidos Mexicanos,Distrito Federal,Urbana,Alfabetos,Hombres,1573089,18577,39646,47526,46839,243048,203243,186200,162305,262615,162694,110285,83351,6760
259,Estados Unidos Mexicanos,Distrito Federal,Urbana,Alfabetos,Mujeres,1601043,16554,36363,46460,46077,241260,223762,196184,169397,257290,158535,105210,100256,3695
260,Estados Unidos Mexicanos,Distrito Federal,Urbana,Analfabetos,Total,597246,97062,49016,26158,14641,34926,39076,46334,40696,77462,56462,51812,60607,2994
261,Estados Unidos Mexicanos,Distrito Federal,Urbana,Analfabetos,Hombres,202752,47654,23935,12453,6960,11767,11171,11383,11047,22322,15032,13580,14387,1061
262,Estados Unidos Mexicanos,Distrito Federal,Urbana,Analfabetos,Mujeres,394494,49408,25081,13705,7681,23159,27905,34951,29649,55140,41430,38232,46220,1933
263,Estados Unidos Mexicanos,Distrito Federal,Rural,Total,Total,167122,9982,9229,8997,7542,24988,18297,16499,15496,24817,13345,9222,8467,241
264,Estados Unidos Mexicanos,Distrito Federal,Rural,Total,Hombres,81597,5139,4754,4531,3795,12535,8910,7580,7220,12342,6570,4609,3467,145
265,Estados Unidos Mexicanos,Distrito Federal,Rural,Total,Mujeres,85525,4843,4475,4466,3747,12453,9387,8919,8276,12475,6775,4613,5000,96
266,Estados Unidos Mexicanos,Distrito Federal,Rural,Alfabetos,Total,111264,1926,4574,6039,5947,20917,15086,12491,11326,16964,8300,4504,3090,100
267,Estados Unidos Mexicanos,Distrito Federal,Rural,Alfabetos,Hombres,59742,1017,2372,3021,3052,10663,7679,6304,5957,9845,5000,3015,1766,51
268,Estados Unidos Mexicanos,Distrito Federal,Rural,Alfabetos,Mujeres,51522,909,2202,3018,2895,10254,7407,6187,5369,7119,3300,1489,1324,49
269,Estados Unidos Mexicanos,Distrito Federal,Rural,Analfabetos,Total,55858,8056,4655,2958,1595,4071,3211,4008,4170,7853,5045,4718,5377,141
270,Estados Unidos Mexicanos,Distrito Federal,Rural,Analfabetos,Hombres,21855,4122,2382,1510,743,1872,1231,1276,1263,2497,1570,1594,1701,94
271,Estados Unidos Mexicanos,Distrito Federal,Rural,Analfabetos,Mujeres,34003,3934,2273,1448,852,2199,1980,2732,2907,5356,3475,3124,3676,47
272,Estados Unidos Mexicanos,Durango,Total,Total,Total,602542,24740,23378,23176,19510,97887,79671,66239,52270,79073,52207,41652,41262,1477
273,Estados Unidos Mexicanos,Durango,Total,Total,Hombres,305910,12676,11911,11783,9710,50538,40415,32794,25696,39870,26233,21748,21626,910
274,Estados Unidos Mexicanos,Durango,Total,Total,Mujeres,296632,12064,11467,11393,9800,47349,39256,33445,26574,39203,25974,19904,19636,567
275,Estados Unidos Mexicanos,Durango,Total,Alfabetos,Total,452905,2685,8545,13763,14132,82771,69935,58237,45131,66743,39770,27410,23031,752
276,Estados Unidos Mexicanos,Durango,Total,Alfabetos,Hombres,229343,1299,4189,6870,6913,42057,35111,28842,22365,33942,20447,14658,12197,453
277,Estados Unidos Mexicanos,Durango,Total,Alfabetos,Mujeres,223562,1386,4356,6893,7219,40714,34824,29395,22766,32801,19323,12752,10834,299
278,Estados Unidos Mexicanos,Durango,Total,Analfabetos,Total,149637,22055,14833,9413,5378,15116,9736,8002,7139,12330,12437,14242,18231,725
279,Estados Unidos Mexicanos,Durango,Total,Analfabetos,Hombres,76567,11377,7722,4913,2797,8481,5304,3952,3331,5928,5786,7090,9429,457
280,Estados Unidos Mexicanos,Durango,Total,Analfabetos,Mujeres,73070,10678,7111,4500,2581,6635,4432,4050,3808,6402,6651,7152,8802,268
281,Estados Unidos Mexicanos,Durango,Urbana,Total,Total,212899,8030,7815,7660,6593,34742,28287,23484,18401,28432,19044,14955,14975,481
282,Estados Unidos Mexicanos,Durango,Urbana,Total,Hombres,103677,4125,3976,3846,3280,17457,13775,10969,8699,13709,9199,7366,7005,271
283,Estados Unidos Mexicanos,Durango,Urbana,Total,Mujeres,109222,3905,3839,3814,3313,17285,14512,12515,9702,14723,9845,7589,7970,210
284,Estados Unidos Mexicanos,Durango,Urbana,Alfabetos,Total,178055,1165,3587,5493,5461,32226,26618,21929,17010,25855,16413,11748,10251,299
285,Estados Unidos Mexicanos,Durango,Urbana,Alfabetos,Hombres,87273,582,1786,2739,2702,16115,12960,10307,8120,12618,8156,6004,5028,156
286,Estados Unidos Mexicanos,Durango,Urbana,Alfabetos,Mujeres,90782,583,1801,2754,2759,16111,13658,11622,8890,13237,8257,5744,5223,143
287,Estados Unidos Mexicanos,Durango,Urbana,Analfabetos,Total,34844,6865,4228,2167,1132,2516,1669,1555,1391,2577,2631,3207,4724,182
288,Estados Unidos Mexicanos,Durango,Urbana,Analfabetos,Hombres,16404,3543,2190,1107,578,1342,815,662,579,1091,1043,1362,1977,115
289,Estados Unidos Mexicanos,Durango,Urbana,Analfabetos,Mujeres,18440,3322,2038,1060,554,1174,854,893,812,1486,1588,1845,2747,67
290,Estados Unidos Mexicanos,Durango,Rural,Total,Total,389643,16710,15563,15516,12917,63145,51384,42755,33869,50641,33163,26697,26287,996
291,Estados Unidos Mexicanos,Durango,Rural,Total,Hombres,202233,8551,7935,7937,6430,33081,26640,21825,16997,26161,17034,14382,14621,639
292,Estados Unidos Mexicanos,Durango,Rural,Total,Mujeres,187410,8159,7628,7579,6487,30064,24744,20930,16872,24480,16129,12315,11666,357
293,Estados Unidos Mexicanos,Durango,Rural,Alfabetos,Total,274850,1520,4958,8270,8671,50545,43317,36308,28121,40888,23357,15662,12780,453
294,Estados Unidos Mexicanos,Durango,Rural,Alfabetos,Hombres,142070,717,2403,4131,4211,25942,22151,18535,14245,21324,12291,8654,7169,297
295,Estados Unidos Mexicanos,Durango,Rural,Alfabetos,Mujeres,132780,803,2555,4139,4460,24603,21166,17773,13876,19564,11066,7008,5611,156
296,Estados Unidos Mexicanos,Durango,Rural,Analfabetos,Total,114793,15190,10605,7246,4246,12600,8067,6447,5748,9753,9806,11035,13507,543
297,Estados Unidos Mexicanos,Durango,Rural,Analfabetos,Hombres,60163,7834,5532,3806,2219,7139,4489,3290,2752,4837,4743,5728,7452,342
298,Estados Unidos Mexicanos,Durango,Rural,Analfabetos,Mujeres,54630,7356,5073,3440,2027,5461,3578,3157,2996,4916,5063,5307,6055,201
299,Estados Unidos Mexicanos,Guanajuato,Total,Total,Total,1380692,60413,55179,55556,43388,222220,175872,137932,116213,186853,119913,95657,104528,6968
300,Estados Unidos Mexicanos,Guanajuato,Total,Total,Hombres,687448,31132,28016,28137,22079,114323,86868,66283,55884,91752,58386,47895,52839,3854
301,Estados Unidos Mexicanos,Guanajuato,Total,Total,Mujeres,693244,29281,27163,27419,21309,107897,89004,71649,60329,95101,61527,47762,51689,3114
302,Estados Unidos Mexicanos,Guanajuato,Total,Alfabetos,Total,705527,5316,12500,18755,20409,130785,110901,86413,67966,104626,63529,41426,38545,4356
303,Estados Unidos Mexicanos,Guanajuato,Total,Alfabetos,Hombres,372931,2722,6472,9514,10580,66642,55287,44349,35780,57592,35172,24641,22496,1684
304,Estados Unidos Mexicanos,Guanajuato,Total,Alfabetos,Mujeres,332596,2594,6028,9241,9829,64143,55614,42064,32186,47034,28357,16785,16049,2672
305,Estados Unidos Mexicanos,Guanajuato,Total,Analfabetos,Total,675165,55097,42679,36801,22979,91435,64971,51519,48247,82227,56384,54231,65983,2612
306,Estados Unidos Mexicanos,Guanajuato,Total,Analfabetos,Hombres,314517,28410,21544,18623,11499,47681,31581,21934,20104,34160,23214,23254,30343,2170
307,Estados Unidos Mexicanos,Guanajuato,Total,Analfabetos,Mujeres,360648,26687,21135,18178,11480,43754,33390,29585,28143,48067,33170,30977,35640,442
308,Estados Unidos Mexicanos,Guanajuato,Urbana,Total,Total,627522,24643,24096,22619,19717,102630,76972,63791,50748,85169,56810,44389,51167,4771
309,Estados Unidos Mexicanos,Guanajuato,Urbana,Total,Hombres,301965,12572,12225,11361,10096,51973,37168,29313,23765,40357,26730,21184,23435,1786
310,Estados Unidos Mexicanos,Guanajuato,Urbana,Total,Mujeres,325557,12071,11871,11258,9621,50657,39804,34478,26983,44812,30080,23205,27732,2985
311,Estados Unidos Mexicanos,Guanajuato,Urbana,Alfabetos,Total,410505,3605,8643,12090,13323,76322,61954,46351,37255,59023,37656,25218,25083,3982
312,Estados Unidos Mexicanos,Guanajuato,Urbana,Alfabetos,Hombres,209323,1817,4473,6120,6963,39068,30522,22706,18735,30664,19713,13943,13246,1353
313,Estados Unidos Mexicanos,Guanajuato,Urbana,Alfabetos,Mujeres,201182,1788,4170,5970,6360,37254,31432,23645,18520,28359,17943,11275,11837,2629
314,Estados Unidos Mexicanos,Guanajuato,Urbana,Analfabetos,Total,217017,21038,15453,10529,6394,26308,15018,17440,13493,26146,19154,19171,26084,789
315,Estados Unidos Mexicanos,Guanajuato,Urbana,Analfabetos,Hombres,92642,10755,7752,5241,3133,12905,6646,6607,5030,9693,7017,7241,10189,433
316,Estados Unidos Mexicanos,Guanajuato,Urbana,Analfabetos,Mujeres,124375,10283,7701,5288,3261,13403,8372,10833,8463,16453,12137,11930,15895,356
317,Estados Unidos Mexicanos,Guanajuato,Rural,Total,Total,753170,35770,31083,32937,23671,119590,98900,74141,65465,101684,63103,51268,53361,2197
318,Estados Unidos Mexicanos,Guanajuato,Rural,Total,Hombres,385483,18560,15791,16776,11983,62350,49700,36970,32119,51395,31656,26711,29404,2068
319,Estados Unidos Mexicanos,Guanajuato,Rural,Total,Mujeres,367687,17210,15292,16161,11688,57240,49200,37171,33346,50289,31447,24557,23957,129
320,Estados Unidos Mexicanos,Guanajuato,Rural,Alfabetos,Total,295022,1711,3857,6665,7086,54463,48947,40062,30711,45603,25873,16208,13462,374
321,Estados Unidos Mexicanos,Guanajuato,Rural,Alfabetos,Hombres,163608,905,1999,3394,3617,27574,24765,21643,17045,26928,15459,10698,9250,331
322,Estados Unidos Mexicanos,Guanajuato,Rural,Alfabetos,Mujeres,131414,806,1858,3271,3469,26889,24182,18419,13666,18675,10414,5510,4212,43
323,Estados Unidos Mexicanos,Guanajuato,Rural,Analfabetos,Total,458148,34059,27226,26272,16585,65127,49953,34079,34754,56081,37230,35060,39899,1823
324,Estados Unidos Mexicanos,Guanajuato,Rural,Analfabetos,Hombres,221875,17655,13792,13382,8366,34776,24935,15327,15074,24467,16197,16013,20154,1737
325,Estados Unidos Mexicanos,Guanajuato,Rural,Analfabetos,Mujeres,236273,16404,13434,12890,8219,30351,25018,18752,19680,31614,21033,19047,19745,86
326,Estados Unidos Mexicanos,Guerrero,Total,Total,Total,952656,40736,38074,40601,29580,154972,121308,100356,88720,133478,84449,56002,62345,2035
327,Estados Unidos Mexicanos,Guerrero,Total,Total,Hombres,474042,20678,19502,20503,15188,80742,59685,47504,42061,66142,41887,27758,31254,1138
328,Estados Unidos Mexicanos,Guerrero,Total,Total,Mujeres,478614,20058,18572,20098,14392,74230,61623,52852,46659,67336,42562,28244,31091,897
329,Estados Unidos Mexicanos,Guerrero,Total,Alfabetos,Total,354289,2062,5915,9546,9943,71372,59577,45207,36420,51539,29016,16589,16613,490
330,Estados Unidos Mexicanos,Guerrero,Total,Alfabetos,Hombres,192802,1063,3087,4860,5110,37107,30293,23642,19815,29881,17570,10107,9977,290
331,Estados Unidos Mexicanos,Guerrero,Total,Alfabetos,Mujeres,161487,999,2828,4686,4833,34265,29284,21565,16605,21658,11446,6482,6636,200
332,Estados Unidos Mexicanos,Guerrero,Total,Analfabetos,Total,598367,38674,32159,31055,19637,83600,61731,55149,52300,81939,55433,39413,45732,1545
333,Estados Unidos Mexicanos,Guerrero,Total,Analfabetos,Hombres,281240,19615,16415,15643,10078,43635,29392,23862,22246,36261,24317,17651,21277,848
334,Estados Unidos Mexicanos,Guerrero,Total,Analfabetos,Mujeres,317127,19059,15744,15412,9559,39965,32339,31287,30054,45678,31116,21762,24455,697
335,Estados Unidos Mexicanos,Guerrero,Urbana,Total,Total,241799,9051,8856,8956,6988,40227,31342,25953,23032,34408,21359,14300,16710,617
336,Estados Unidos Mexicanos,Guerrero,Urbana,Total,Hombres,116244,4535,4620,4519,3553,20376,14962,11833,10750,16469,10273,6693,7314,347
337,Estados Unidos Mexicanos,Guerrero,Urbana,Total,Mujeres,125555,4516,4236,4437,3435,19851,16380,14120,12282,17939,11086,7607,9396,270
338,Estados Unidos Mexicanos,Guerrero,Urbana,Alfabetos,Total,149912,1035,2857,4266,4229,30022,23821,18286,15735,22080,12339,7361,7547,334
339,Estados Unidos Mexicanos,Guerrero,Urbana,Alfabetos,Hombres,76892,530,1514,2143,2167,15271,11589,8876,7986,11842,6885,4028,3866,195
340,Estados Unidos Mexicanos,Guerrero,Urbana,Alfabetos,Mujeres,73020,505,1343,2123,2062,14751,12232,9410,7749,10238,5454,3333,3681,139
341,Estados Unidos Mexicanos,Guerrero,Urbana,Analfabetos,Total,91887,8016,5999,4690,2759,10205,7521,7667,7297,12328,9020,6939,9163,283
342,Estados Unidos Mexicanos,Guerrero,Urbana,Analfabetos,Hombres,39352,4005,3106,2376,1386,5105,3373,2957,2764,4627,3388,2665,3448,152
343,Estados Unidos Mexicanos,Guerrero,Urbana,Analfabetos,Mujeres,52535,4011,2893,2314,1373,5100,4148,4710,4533,7701,5632,4274,5715,131
344,Estados Unidos Mexicanos,Guerrero,Rural,Total,Total,710857,31685,29218,31645,22592,114745,89966,74403,65688,99070,63090,41702,45635,1418
345,Estados Unidos Mexicanos,Guerrero,Rural,Total,Hombres,357798,16143,14882,15984,11635,60366,44723,35671,31311,49673,31614,21065,23940,791
346,Estados Unidos Mexicanos,Guerrero,Rural,Total,Mujeres,353059,15542,14336,15661,10957,54379,45243,38732,34377,49397,31476,20637,21695,627
347,Estados Unidos Mexicanos,Guerrero,Rural,Alfabetos,Total,204377,1027,3058,5280,5714,41350,35756,26921,20685,29459,16677,9228,9066,156
348,Estados Unidos Mexicanos,Guerrero,Rural,Alfabetos,Hombres,115910,533,1573,2717,2943,21836,18704,14766,11829,18039,10685,6079,6111,95
349,Estados Unidos Mexicanos,Guerrero,Rural,Alfabetos,Mujeres,88467,494,1485,2563,2771,19514,17052,12155,8856,11420,5992,3149,2955,61
350,Estados Unidos Mexicanos,Guerrero,Rural,Analfabetos,Total,506480,30658,26160,26365,16878,73395,54210,47482,45003,69611,46413,32474,36569,1262
351,Estados Unidos Mexicanos,Guerrero,Rural,Analfabetos,Hombres,241888,15610,13309,13267,8692,38530,26019,20905,19482,31634,20929,14986,17829,696
352,Estados Unidos Mexicanos,Guerrero,Rural,Analfabetos,Mujeres,264592,15048,12851,13098,8186,34865,28191,26577,25521,37977,25484,17488,18740,566
353,Estados Unidos Mexicanos,Hidalgo,Total,Total,Total,798232,34044,30998,32343,25015,126853,100488,79903,71608,112266,74739,48886,57954,3135
