,Estados Unidos Mexicanos,Entidad federativa,Área urbana y rural ,Alfabetismo,Sexo,Población de 6 años y más,6 años,7 años,8 años,9 años,De 10 a 14 años,De 15 a 19 años,De 20 a 24 años,De 25 a 29 años,De 30 a 39 años,De 40 a 49 años,De 50 a 59 años,De 60 y más años,No indicados
35,Estados Unidos Mexicanos,Aguascalientes,Total,Analfabetos,Total,52579,7002,4982,3064,1765,5089,3282,2695,2640,5456,4247,4872,6520,965
36,Estados Unidos Mexicanos,Aguascalientes,Total,Analfabetos,Hombres,24237,3639,2659,1537,941,2677,1627,1078,1029,2172,1717,1932,2812,417
37,Estados Unidos Mexicanos,Aguascalientes,Total,Analfabetos,Mujeres,28342,3363,2323,1527,824,2412,1655,1617,1611,3284,2530,2940,3708,548
38,Estados Unidos Mexicanos,Aguascalientes,Urbana,Total,Total,115814,4591,4398,4278,3696,17736,14230,10993,8937,16078,11082,9059,9711,1025
39,Estados Unidos Mexicanos,Aguascalientes,Urbana,Total,Hombres,55055,2411,2251,2169,1894,8860,7005,4880,3980,7298,5144,4248,4468,447
40,Estados Unidos Mexicanos,Aguascalientes,Urbana,Total,Mujeres,60759,2180,2147,2109,1802,8876,7225,6113,4957,8780,5938,4811,5243,578
41,Estados Unidos Mexicanos,Aguascalientes,Urbana,Alfabetos,Total,90063,689,1881,2883,2914,15649,12868,9781,7691,13358,9008,6639,6336,366
42,Estados Unidos Mexicanos,Aguascalientes,Urbana,Alfabetos,Hombres,44205,337,947,1467,1493,7857,6387,4479,3554,6378,4386,3440,3282,198
43,Estados Unidos Mexicanos,Aguascalientes,Urbana,Alfabetos,Mujeres,45858,352,934,1416,1421,7792,6481,5302,4137,6980,4622,3199,3054,168
44,Estados Unidos Mexicanos,Aguascalientes,Urbana,Analfabetos,Total,25751,3902,2517,1395,782,2087,1362,1212,1246,2720,2074,2420,3375,659
45,Estados Unidos Mexicanos,Aguascalientes,Urbana,Analfabetos,Hombres,10850,2074,1304,702,401,1003,618,401,426,920,758,808,1186,249
46,Estados Unidos Mexicanos,Aguascalientes,Urbana,Analfabetos,Mujeres,14901,1828,1213,693,381,1084,744,811,820,1800,1316,1612,2189,410
47,Estados Unidos Mexicanos,Aguascalientes,Rural,Total,Total,78421,3448,3273,3155,2654,13301,10354,7958,6361,10347,6654,5135,5277,504
48,Estados Unidos Mexicanos,Aguascalientes,Rural,Total,Hombres,40690,1709,1716,1619,1410,7047,5372,3963,3130,5324,3423,2713,2985,279
49,Estados Unidos Mexicanos,Aguascalientes,Rural,Total,Mujeres,37731,1739,1557,1536,1244,6254,4982,3995,3231,5023,3231,2422,2292,225
50,Estados Unidos Mexicanos,Aguascalientes,Rural,Alfabetos,Total,51593,348,808,1486,1671,10299,8434,6475,4967,7611,4481,2683,2132,198
51,Estados Unidos Mexicanos,Aguascalientes,Rural,Alfabetos,Hombres,27303,144,361,784,870,5373,4363,3286,2527,4072,2464,1589,1359,111
52,Estados Unidos Mexicanos,Aguascalientes,Rural,Alfabetos,Mujeres,24290,204,447,702,801,4926,4071,3189,2440,3539,2017,1094,773,87
53,Estados Unidos Mexicanos,Aguascalientes,Rural,Analfabetos,Total,26828,3100,2465,1669,983,3002,1920,1483,1394,2736,2173,2452,3145,306
54,Estados Unidos Mexicanos,Aguascalientes,Rural,Analfabetos,Hombres,13387,1565,1355,835,540,1674,1009,677,603,1252,959,1124,1626,168
55,Estados Unidos Mexicanos,Aguascalientes,Rural,Analfabetos,Mujeres,13441,1535,1110,834,443,1328,911,806,791,1484,1214,1328,1519,138
56,Estados Unidos Mexicanos,Baja California,Total,Total,Total,407951,17478,16939,15619,13410,62018,47893,37789,38030,65423,40248,25032,20590,7482
