,Estados Unidos Mexicanos,Entidad federativa,Tamaño de la localidad,Grupos de edad,Saben leer y escribir :Hombres y mujeres,Saben leer y escribir :Hombres,No saben leer y escribir :Mujeres,No saben leer y escribir :Hombres y mujeres,No saben leer y escribir :Hombres,No saben leer y escribir :Mujeres,No saben leer y escribir :Hombres y mujeres,No saben leer y escribir :Hombres,No saben leer y escribir :Mujeres
44,Estados Unidos Mexicanos,Total,De 10 000 a 19 999 habitantes,De 30 a 34 años,187644,90763,96881,159047,80348,78699,28597,10415,18182
45,Estados Unidos Mexicanos,Total,De 10 000 a 19 999 habitantes,De 35 a 39 años,181279,87232,94047,147022,75142,71880,34257,12090,22167
46,Estados Unidos Mexicanos,Total,De 10 000 a 19 999 habitantes,De 40 años y más,600090,289311,310779,431622,227230,204392,168468,62081,106387
47,Estados Unidos Mexicanos,Total,De 20 000 a 49 999 habitantes,Total,2723420,1326209,1397211,2196408,1100078,1096330,527012,226131,300881
48,Estados Unidos Mexicanos,Total,De 20 000 a 49 999 habitantes,De 6 a 9 años,415749,211311,204438,234550,117645,116905,181199,93666,87533
49,Estados Unidos Mexicanos,Total,De 20 000 a 49 999 habitantes,De 10 a 14 años,451316,227665,223651,413653,208560,205093,37663,19105,18558
50,Estados Unidos Mexicanos,Total,De 20 000 a 49 999 habitantes,De 15 a 19 años,370696,178629,192067,340007,165444,174563,30689,13185,17504
51,Estados Unidos Mexicanos,Total,De 20 000 a 49 999 habitantes,De 20 a 24 años,298233,139306,158927,267492,127831,139661,30741,11475,19266
52,Estados Unidos Mexicanos,Total,De 20 000 a 49 999 habitantes,De 25 a 29 años,236083,112788,123295,206068,101880,104188,30015,10908,19107
53,Estados Unidos Mexicanos,Total,De 20 000 a 49 999 habitantes,De 30 a 34 años,189361,92234,97127,162050,82161,79889,27311,10073,17238
54,Estados Unidos Mexicanos,Total,De 20 000 a 49 999 habitantes,De 35 a 39 años,177935,85976,91959,145911,74809,71102,32024,11167,20857
