,Estados Unidos Mexicanos,Entidad federativa,Tamaño de la localidad,Grupos de edad,Saben leer y escribir :Hombres y mujeres,Saben leer y escribir :Hombres,No saben leer y escribir :Mujeres,No saben leer y escribir :Hombres y mujeres,No saben leer y escribir :Hombres,No saben leer y escribir :Mujeres,No saben leer y escribir :Hombres y mujeres,No saben leer y escribir :Hombres,No saben leer y escribir :Mujeres
371,Estados Unidos Mexicanos,Colima,De 10 000 a 19 999 habitantes,Total,8311,4295,4016,6041,3153,2888,2270,1142,1128
372,Estados Unidos Mexicanos,Colima,De 10 000 a 19 999 habitantes,De 6 a 9 años,1430,751,679,681,342,339,749,409,340
373,Estados Unidos Mexicanos,Colima,De 10 000 a 19 999 habitantes,De 10 a 14 años,1422,760,662,1247,653,594,175,107,68
374,Estados Unidos Mexicanos,Colima,De 10 000 a 19 999 habitantes,De 15 a 19 años,1104,592,512,963,521,442,141,71,70
375,Estados Unidos Mexicanos,Colima,De 10 000 a 19 999 habitantes,De 20 a 24 años,886,438,448,758,381,377,128,57,71
376,Estados Unidos Mexicanos,Colima,De 10 000 a 19 999 habitantes,De 25 a 29 años,711,349,362,563,283,280,148,66,82
377,Estados Unidos Mexicanos,Colima,De 10 000 a 19 999 habitantes,De 30 a 34 años,544,278,266,414,219,195,130,59,71
378,Estados Unidos Mexicanos,Colima,De 10 000 a 19 999 habitantes,De 35 a 39 años,479,240,239,320,166,154,159,74,85
379,Estados Unidos Mexicanos,Colima,De 10 000 a 19 999 habitantes,De 40 años y más,1735,887,848,1095,588,507,640,299,341
380,Estados Unidos Mexicanos,Colima,De 20 000 a 49 999 habitantes,Total,41735,20775,20960,30633,15377,15256,11102,5398,5704
381,Estados Unidos Mexicanos,Colima,De 20 000 a 49 999 habitantes,De 6 a 9 años,6524,3250,3274,3367,1650,1717,3157,1600,1557
382,Estados Unidos Mexicanos,Colima,De 20 000 a 49 999 habitantes,De 10 a 14 años,7062,3567,3495,6055,2982,3073,1007,585,422
383,Estados Unidos Mexicanos,Colima,De 20 000 a 49 999 habitantes,De 15 a 19 años,5698,2739,2959,4827,2286,2541,871,453,418
384,Estados Unidos Mexicanos,Colima,De 20 000 a 49 999 habitantes,De 20 a 24 años,4534,2217,2317,3634,1815,1819,900,402,498
385,Estados Unidos Mexicanos,Colima,De 20 000 a 49 999 habitantes,De 25 a 29 años,3548,1751,1797,2820,1410,1410,728,341,387
386,Estados Unidos Mexicanos,Colima,De 20 000 a 49 999 habitantes,De 30 a 34 años,2705,1379,1326,2071,1089,982,634,290,344
387,Estados Unidos Mexicanos,Colima,De 20 000 a 49 999 habitantes,De 35 a 39 años,2768,1387,1381,2009,1044,965,759,343,416
388,Estados Unidos Mexicanos,Colima,De 20 000 a 49 999 habitantes,De 40 años y más,8896,4485,4411,5850,3101,2749,3046,1384,1662
389,Estados Unidos Mexicanos,Colima,De 50 000 habitantes y más,Total,47555,22563,24992,39565,19031,20534,7990,3532,4458
390,Estados Unidos Mexicanos,Colima,De 50 000 habitantes y más,De 6 a 9 años,7104,3629,3475,4439,2254,2185,2665,1375,1290
391,Estados Unidos Mexicanos,Colima,De 50 000 habitantes y más,De 10 a 14 años,7900,3926,3974,7396,3676,3720,504,250,254
392,Estados Unidos Mexicanos,Colima,De 50 000 habitantes y más,De 15 a 19 años,6719,3185,3534,6295,2980,3315,424,205,219
393,Estados Unidos Mexicanos,Colima,De 50 000 habitantes y más,De 20 a 24 años,4937,2196,2741,4554,2033,2521,383,163,220
394,Estados Unidos Mexicanos,Colima,De 50 000 habitantes y más,De 25 a 29 años,3815,1757,2058,3486,1640,1846,329,117,212
395,Estados Unidos Mexicanos,Colima,De 50 000 habitantes y más,De 30 a 34 años,2916,1378,1538,2573,1254,1319,343,124,219
396,Estados Unidos Mexicanos,Colima,De 50 000 habitantes y más,De 35 a 39 años,2699,1288,1411,2257,1125,1132,442,163,279
397,Estados Unidos Mexicanos,Colima,De 50 000 habitantes y más,De 40 años y más,11465,5204,6261,8565,4069,4496,2900,1135,1765
398,Estados Unidos Mexicanos,Chiapas,Total,Total,1243325,627636,615689,645163,357685,287478,598162,269951,328211
399,Estados Unidos Mexicanos,Chiapas,Total,De 6 a 9 años,207454,107131,100323,57526,29725,27801,149928,77406,72522
400,Estados Unidos Mexicanos,Chiapas,Total,De 10 a 14 años,211639,110753,100886,137984,73873,64111,73655,36880,36775
401,Estados Unidos Mexicanos,Chiapas,Total,De 15 a 19 años,167779,82083,85696,112322,58906,53416,55457,23177,32280
402,Estados Unidos Mexicanos,Chiapas,Total,De 20 a 24 años,135608,63600,72008,81238,43134,38104,54370,20466,33904
403,Estados Unidos Mexicanos,Chiapas,Total,De 25 a 29 años,117004,56154,60850,63899,35396,28503,53105,20758,32347
404,Estados Unidos Mexicanos,Chiapas,Total,De 30 a 34 años,83005,42116,40889,45610,26436,19174,37395,15680,21715
405,Estados Unidos Mexicanos,Chiapas,Total,De 35 a 39 años,83086,41683,41403,44669,25840,18829,38417,15843,22574
406,Estados Unidos Mexicanos,Chiapas,Total,De 40 años y más,237750,124116,113634,101915,64375,37540,135835,59741,76094
407,Estados Unidos Mexicanos,Chiapas,Hasta 2 499 habitantes,Total,887941,457027,430914,400769,233663,167106,487172,223364,263808
408,Estados Unidos Mexicanos,Chiapas,Hasta 2 499 habitantes,De 6 a 9 años,153699,79856,73843,34613,18313,16300,119086,61543,57543
409,Estados Unidos Mexicanos,Chiapas,Hasta 2 499 habitantes,De 10 a 14 años,151845,80470,71375,89840,49392,40448,62005,31078,30927
410,Estados Unidos Mexicanos,Chiapas,Hasta 2 499 habitantes,De 15 a 19 años,118523,58904,59619,72037,39516,32521,46486,19388,27098
411,Estados Unidos Mexicanos,Chiapas,Hasta 2 499 habitantes,De 20 a 24 años,99089,47501,51588,53059,30091,22968,46030,17410,28620
412,Estados Unidos Mexicanos,Chiapas,Hasta 2 499 habitantes,De 25 a 29 años,86796,42460,44336,41471,24510,16961,45325,17950,27375
413,Estados Unidos Mexicanos,Chiapas,Hasta 2 499 habitantes,De 30 a 34 años,59402,30925,28477,28036,17393,10643,31366,13532,17834
414,Estados Unidos Mexicanos,Chiapas,Hasta 2 499 habitantes,De 35 a 39 años,58324,30131,28193,27105,16799,10306,31219,13332,17887
415,Estados Unidos Mexicanos,Chiapas,Hasta 2 499 habitantes,De 40 años y más,160263,86780,73483,54608,37649,16959,105655,49131,56524
416,Estados Unidos Mexicanos,Chiapas,De 2 500 a 4 999 habitantes,Total,86721,43143,43578,54021,28486,25535,32700,14657,18043
417,Estados Unidos Mexicanos,Chiapas,De 2 500 a 4 999 habitantes,De 6 a 9 años,14182,7247,6935,5356,2588,2768,8826,4659,4167
418,Estados Unidos Mexicanos,Chiapas,De 2 500 a 4 999 habitantes,De 10 a 14 años,15289,7905,7384,11592,5944,5648,3697,1961,1736
419,Estados Unidos Mexicanos,Chiapas,De 2 500 a 4 999 habitantes,De 15 a 19 años,11757,5838,5919,8951,4515,4436,2806,1323,1483
420,Estados Unidos Mexicanos,Chiapas,De 2 500 a 4 999 habitantes,De 20 a 24 años,8538,3976,4562,5942,2906,3036,2596,1070,1526
421,Estados Unidos Mexicanos,Chiapas,De 2 500 a 4 999 habitantes,De 25 a 29 años,7300,3424,3876,4865,2486,2379,2435,938,1497
422,Estados Unidos Mexicanos,Chiapas,De 2 500 a 4 999 habitantes,De 30 a 34 años,5448,2672,2776,3695,1997,1698,1753,675,1078
423,Estados Unidos Mexicanos,Chiapas,De 2 500 a 4 999 habitantes,De 35 a 39 años,5972,2840,3132,3873,2082,1791,2099,758,1341
424,Estados Unidos Mexicanos,Chiapas,De 2 500 a 4 999 habitantes,De 40 años y más,18235,9241,8994,9747,5968,3779,8488,3273,5215
425,Estados Unidos Mexicanos,Chiapas,De 5 000 a 9 999 habitantes,Total,60145,29123,31022,36685,18991,17694,23460,10132,13328
426,Estados Unidos Mexicanos,Chiapas,De 5 000 a 9 999 habitantes,De 6 a 9 años,9334,4649,4685,3443,1708,1735,5891,2941,2950
427,Estados Unidos Mexicanos,Chiapas,De 5 000 a 9 999 habitantes,De 10 a 14 años,10120,5134,4986,7425,3808,3617,2695,1326,1369
428,Estados Unidos Mexicanos,Chiapas,De 5 000 a 9 999 habitantes,De 15 a 19 años,7912,3635,4277,5845,2777,3068,2067,858,1209
429,Estados Unidos Mexicanos,Chiapas,De 5 000 a 9 999 habitantes,De 20 a 24 años,6177,2789,3388,4259,2049,2210,1918,740,1178
430,Estados Unidos Mexicanos,Chiapas,De 5 000 a 9 999 habitantes,De 25 a 29 años,4965,2307,2658,3328,1673,1655,1637,634,1003
431,Estados Unidos Mexicanos,Chiapas,De 5 000 a 9 999 habitantes,De 30 a 34 años,4033,1939,2094,2694,1431,1263,1339,508,831
432,Estados Unidos Mexicanos,Chiapas,De 5 000 a 9 999 habitantes,De 35 a 39 años,4135,2026,2109,2656,1435,1221,1479,591,888
433,Estados Unidos Mexicanos,Chiapas,De 5 000 a 9 999 habitantes,De 40 años y más,13469,6644,6825,7035,4110,2925,6434,2534,3900
434,Estados Unidos Mexicanos,Chiapas,De 10 000 a 19 999 habitantes,Total,46512,21803,24709,33968,16943,17025,12544,4860,7684
435,Estados Unidos Mexicanos,Chiapas,De 10 000 a 19 999 habitantes,De 6 a 9 años,7099,3640,3459,3267,1652,1615,3832,1988,1844
436,Estados Unidos Mexicanos,Chiapas,De 10 000 a 19 999 habitantes,De 10 a 14 años,7917,3947,3970,6765,3406,3359,1152,541,611
437,Estados Unidos Mexicanos,Chiapas,De 10 000 a 19 999 habitantes,De 15 a 19 años,6416,2979,3437,5561,2660,2901,855,319,536
438,Estados Unidos Mexicanos,Chiapas,De 10 000 a 19 999 habitantes,De 20 a 24 años,4417,1818,2599,3645,1580,2065,772,238,534
439,Estados Unidos Mexicanos,Chiapas,De 10 000 a 19 999 habitantes,De 25 a 29 años,3691,1593,2098,2922,1342,1580,769,251,518
440,Estados Unidos Mexicanos,Chiapas,De 10 000 a 19 999 habitantes,De 30 a 34 años,3069,1387,1682,2451,1200,1251,618,187,431
441,Estados Unidos Mexicanos,Chiapas,De 10 000 a 19 999 habitantes,De 35 a 39 años,3303,1457,1846,2505,1233,1272,798,224,574
442,Estados Unidos Mexicanos,Chiapas,De 10 000 a 19 999 habitantes,De 40 años y más,10600,4982,5618,6852,3870,2982,3748,1112,2636
443,Estados Unidos Mexicanos,Chiapas,De 20 000 a 49 999 habitantes,Total,56924,26856,30068,38095,18801,19294,18829,8055,10774
444,Estados Unidos Mexicanos,Chiapas,De 20 000 a 49 999 habitantes,De 6 a 9 años,8943,4487,4456,3600,1761,1839,5343,2726,2617
445,Estados Unidos Mexicanos,Chiapas,De 20 000 a 49 999 habitantes,De 10 a 14 años,9731,4930,4801,7603,3886,3717,2128,1044,1084
446,Estados Unidos Mexicanos,Chiapas,De 20 000 a 49 999 habitantes,De 15 a 19 años,7709,3567,4142,6142,2916,3226,1567,651,916
447,Estados Unidos Mexicanos,Chiapas,De 20 000 a 49 999 habitantes,De 20 a 24 años,5750,2512,3238,4369,1993,2376,1381,519,862
448,Estados Unidos Mexicanos,Chiapas,De 20 000 a 49 999 habitantes,De 25 a 29 años,4861,2197,2664,3536,1687,1849,1325,510,815
449,Estados Unidos Mexicanos,Chiapas,De 20 000 a 49 999 habitantes,De 30 a 34 años,3681,1729,1952,2616,1316,1300,1065,413,652
450,Estados Unidos Mexicanos,Chiapas,De 20 000 a 49 999 habitantes,De 35 a 39 años,3889,1805,2084,2612,1315,1297,1277,490,787
451,Estados Unidos Mexicanos,Chiapas,De 20 000 a 49 999 habitantes,De 40 años y más,12360,5629,6731,7617,3927,3690,4743,1702,3041
452,Estados Unidos Mexicanos,Chiapas,De 50 000 habitantes y más,Total,105082,49684,55398,81625,40801,40824,23457,8883,14574
453,Estados Unidos Mexicanos,Chiapas,De 50 000 habitantes y más,De 6 a 9 años,14197,7252,6945,7247,3703,3544,6950,3549,3401
454,Estados Unidos Mexicanos,Chiapas,De 50 000 habitantes y más,De 10 a 14 años,16737,8367,8370,14759,7437,7322,1978,930,1048
455,Estados Unidos Mexicanos,Chiapas,De 50 000 habitantes y más,De 15 a 19 años,15462,7160,8302,13786,6522,7264,1676,638,1038
456,Estados Unidos Mexicanos,Chiapas,De 50 000 habitantes y más,De 20 a 24 años,11637,5004,6633,9964,4515,5449,1673,489,1184
457,Estados Unidos Mexicanos,Chiapas,De 50 000 habitantes y más,De 25 a 29 años,9391,4173,5218,7777,3698,4079,1614,475,1139
458,Estados Unidos Mexicanos,Chiapas,De 50 000 habitantes y más,De 30 a 34 años,7372,3464,3908,6118,3099,3019,1254,365,889
459,Estados Unidos Mexicanos,Chiapas,De 50 000 habitantes y más,De 35 a 39 años,7463,3424,4039,5918,2976,2942,1545,448,1097
460,Estados Unidos Mexicanos,Chiapas,De 50 000 habitantes y más,De 40 años y más,22823,10840,11983,16056,8851,7205,6767,1989,4778
461,Estados Unidos Mexicanos,Chihuahua,Total,Total,1282884,643488,639396,1045258,521560,523698,237626,121928,115698
462,Estados Unidos Mexicanos,Chihuahua,Total,De 6 a 9 años,205027,105104,99923,106793,53013,53780,98234,52091,46143
463,Estados Unidos Mexicanos,Chihuahua,Total,De 10 a 14 años,218730,112304,106426,200288,101780,98508,18442,10524,7918
464,Estados Unidos Mexicanos,Chihuahua,Total,De 15 a 19 años,167752,83189,84563,154756,76347,78409,12996,6842,6154
465,Estados Unidos Mexicanos,Chihuahua,Total,De 20 a 24 años,132792,63595,69197,120535,57674,62861,12257,5921,6336
466,Estados Unidos Mexicanos,Chihuahua,Total,De 25 a 29 años,107157,52028,55129,95127,46266,48861,12030,5762,6268
467,Estados Unidos Mexicanos,Chihuahua,Total,De 30 a 34 años,89330,44276,45054,79029,39226,39803,10301,5050,5251
468,Estados Unidos Mexicanos,Chihuahua,Total,De 35 a 39 años,81870,40938,40932,70535,35433,35102,11335,5505,5830
469,Estados Unidos Mexicanos,Chihuahua,Total,De 40 años y más,280226,142054,138172,218195,111821,106374,62031,30233,31798
470,Estados Unidos Mexicanos,Chihuahua,Hasta 2 499 habitantes,Total,438089,229170,208919,323773,167988,155785,114316,61182,53134
471,Estados Unidos Mexicanos,Chihuahua,Hasta 2 499 habitantes,De 6 a 9 años,73336,37967,35369,35602,17833,17769,37734,20134,17600
472,Estados Unidos Mexicanos,Chihuahua,Hasta 2 499 habitantes,De 10 a 14 años,73860,38387,35473,63907,32767,31140,9953,5620,4333
473,Estados Unidos Mexicanos,Chihuahua,Hasta 2 499 habitantes,De 15 a 19 años,54810,28200,26610,47254,24174,23080,7556,4026,3530
474,Estados Unidos Mexicanos,Chihuahua,Hasta 2 499 habitantes,De 20 a 24 años,45469,23093,22376,37953,19305,18648,7516,3788,3728
475,Estados Unidos Mexicanos,Chihuahua,Hasta 2 499 habitantes,De 25 a 29 años,37501,19308,18193,29880,15461,14419,7621,3847,3774
476,Estados Unidos Mexicanos,Chihuahua,Hasta 2 499 habitantes,De 30 a 34 años,29830,15676,14154,23823,12476,11347,6007,3200,2807
477,Estados Unidos Mexicanos,Chihuahua,Hasta 2 499 habitantes,De 35 a 39 años,27608,14634,12974,21201,11245,9956,6407,3389,3018
478,Estados Unidos Mexicanos,Chihuahua,Hasta 2 499 habitantes,De 40 años y más,95675,51905,43770,64153,34727,29426,31522,17178,14344
479,Estados Unidos Mexicanos,Chihuahua,De 2 500 a 4 999 habitantes,Total,65478,32605,32873,55395,27561,27834,10083,5044,5039
480,Estados Unidos Mexicanos,Chihuahua,De 2 500 a 4 999 habitantes,De 6 a 9 años,10904,5229,5675,5975,2778,3197,4929,2451,2478
481,Estados Unidos Mexicanos,Chihuahua,De 2 500 a 4 999 habitantes,De 10 a 14 años,11713,5750,5963,11132,5428,5704,581,322,259
482,Estados Unidos Mexicanos,Chihuahua,De 2 500 a 4 999 habitantes,De 15 a 19 años,8382,4084,4298,8011,3901,4110,371,183,188
483,Estados Unidos Mexicanos,Chihuahua,De 2 500 a 4 999 habitantes,De 20 a 24 años,6642,3205,3437,6247,3021,3226,395,184,211
484,Estados Unidos Mexicanos,Chihuahua,De 2 500 a 4 999 habitantes,De 25 a 29 años,5324,2672,2652,4964,2494,2470,360,178,182
485,Estados Unidos Mexicanos,Chihuahua,De 2 500 a 4 999 habitantes,De 30 a 34 años,4408,2222,2186,4071,2062,2009,337,160,177
486,Estados Unidos Mexicanos,Chihuahua,De 2 500 a 4 999 habitantes,De 35 a 39 años,4259,2205,2054,3824,1989,1835,435,216,219
487,Estados Unidos Mexicanos,Chihuahua,De 2 500 a 4 999 habitantes,De 40 años y más,13846,7238,6608,11171,5888,5283,2675,1350,1325
488,Estados Unidos Mexicanos,Chihuahua,De 5 000 a 9 999 habitantes,Total,34780,18036,16744,28652,14713,13939,6128,3323,2805
489,Estados Unidos Mexicanos,Chihuahua,De 5 000 a 9 999 habitantes,De 6 a 9 años,5827,3195,2632,2941,1565,1376,2886,1630,1256
490,Estados Unidos Mexicanos,Chihuahua,De 5 000 a 9 999 habitantes,De 10 a 14 años,6214,3315,2899,5746,3037,2709,468,278,190
491,Estados Unidos Mexicanos,Chihuahua,De 5 000 a 9 999 habitantes,De 15 a 19 años,4448,2230,2218,4180,2081,2099,268,149,119
492,Estados Unidos Mexicanos,Chihuahua,De 5 000 a 9 999 habitantes,De 20 a 24 años,3471,1711,1760,3231,1587,1644,240,124,116
493,Estados Unidos Mexicanos,Chihuahua,De 5 000 a 9 999 habitantes,De 25 a 29 años,2726,1364,1362,2522,1250,1272,204,114,90
494,Estados Unidos Mexicanos,Chihuahua,De 5 000 a 9 999 habitantes,De 30 a 34 años,2360,1174,1186,2143,1074,1069,217,100,117
495,Estados Unidos Mexicanos,Chihuahua,De 5 000 a 9 999 habitantes,De 35 a 39 años,2238,1112,1126,1963,976,987,275,136,139
496,Estados Unidos Mexicanos,Chihuahua,De 5 000 a 9 999 habitantes,De 40 años y más,7496,3935,3561,5926,3143,2783,1570,792,778
497,Estados Unidos Mexicanos,Chihuahua,De 10 000 a 19 999 habitantes,Total,66498,33744,32754,56714,28648,28066,9784,5096,4688
498,Estados Unidos Mexicanos,Chihuahua,De 10 000 a 19 999 habitantes,De 6 a 9 años,10927,5718,5209,6384,3230,3154,4543,2488,2055
499,Estados Unidos Mexicanos,Chihuahua,De 10 000 a 19 999 habitantes,De 10 a 14 años,12197,6419,5778,11578,6010,5568,619,409,210
500,Estados Unidos Mexicanos,Chihuahua,De 10 000 a 19 999 habitantes,De 15 a 19 años,8419,4204,4215,8003,3958,4045,416,246,170
501,Estados Unidos Mexicanos,Chihuahua,De 10 000 a 19 999 habitantes,De 20 a 24 años,6191,2988,3203,5841,2812,3029,350,176,174
502,Estados Unidos Mexicanos,Chihuahua,De 10 000 a 19 999 habitantes,De 25 a 29 años,5139,2461,2678,4801,2306,2495,338,155,183
503,Estados Unidos Mexicanos,Chihuahua,De 10 000 a 19 999 habitantes,De 30 a 34 años,4723,2285,2438,4360,2122,2238,363,163,200
504,Estados Unidos Mexicanos,Chihuahua,De 10 000 a 19 999 habitantes,De 35 a 39 años,4439,2267,2172,3995,2045,1950,444,222,222
505,Estados Unidos Mexicanos,Chihuahua,De 10 000 a 19 999 habitantes,De 40 años y más,14463,7402,7061,11752,6165,5587,2711,1237,1474
506,Estados Unidos Mexicanos,Chihuahua,De 20 000 a 49 999 habitantes,Total,56356,27581,28775,48419,23576,24843,7937,4005,3932
507,Estados Unidos Mexicanos,Chihuahua,De 20 000 a 49 999 habitantes,De 6 a 9 años,9167,4586,4581,5268,2578,2690,3899,2008,1891
508,Estados Unidos Mexicanos,Chihuahua,De 20 000 a 49 999 habitantes,De 10 a 14 años,9767,4891,4876,9271,4601,4670,496,290,206
509,Estados Unidos Mexicanos,Chihuahua,De 20 000 a 49 999 habitantes,De 15 a 19 años,7425,3552,3873,7078,3384,3694,347,168,179
510,Estados Unidos Mexicanos,Chihuahua,De 20 000 a 49 999 habitantes,De 20 a 24 años,5662,2521,3141,5373,2380,2993,289,141,148
511,Estados Unidos Mexicanos,Chihuahua,De 20 000 a 49 999 habitantes,De 25 a 29 años,4771,2291,2480,4468,2134,2334,303,157,146
512,Estados Unidos Mexicanos,Chihuahua,De 20 000 a 49 999 habitantes,De 30 a 34 años,3818,1870,1948,3510,1730,1780,308,140,168
513,Estados Unidos Mexicanos,Chihuahua,De 20 000 a 49 999 habitantes,De 35 a 39 años,3566,1746,1820,3274,1611,1663,292,135,157
514,Estados Unidos Mexicanos,Chihuahua,De 20 000 a 49 999 habitantes,De 40 años y más,12180,6124,6056,10177,5158,5019,2003,966,1037
515,Estados Unidos Mexicanos,Chihuahua,De 50 000 habitantes y más,Total,621683,302352,319331,532305,259074,273231,89378,43278,46100
516,Estados Unidos Mexicanos,Chihuahua,De 50 000 habitantes y más,De 6 a 9 años,94866,48409,46457,50623,25029,25594,44243,23380,20863
517,Estados Unidos Mexicanos,Chihuahua,De 50 000 habitantes y más,De 10 a 14 años,104979,53542,51437,98654,49937,48717,6325,3605,2720
518,Estados Unidos Mexicanos,Chihuahua,De 50 000 habitantes y más,De 15 a 19 años,84268,40919,43349,80230,38849,41381,4038,2070,1968
519,Estados Unidos Mexicanos,Chihuahua,De 50 000 habitantes y más,De 20 a 24 años,65357,30077,35280,61890,28569,33321,3467,1508,1959
520,Estados Unidos Mexicanos,Chihuahua,De 50 000 habitantes y más,De 25 a 29 años,51696,23932,27764,48492,22621,25871,3204,1311,1893
521,Estados Unidos Mexicanos,Chihuahua,De 50 000 habitantes y más,De 30 a 34 años,44191,21049,23142,41122,19762,21360,3069,1287,1782
522,Estados Unidos Mexicanos,Chihuahua,De 50 000 habitantes y más,De 35 a 39 años,39760,18974,20786,36278,17567,18711,3482,1407,2075
523,Estados Unidos Mexicanos,Chihuahua,De 50 000 habitantes y más,De 40 años y más,136566,65450,71116,115016,56740,58276,21550,8710,12840
524,Estados Unidos Mexicanos,Distrito Federal,Total,Total,5613618,2677684,2935934,4907036,2411574,2495462,706582,266110,440472
525,Estados Unidos Mexicanos,Distrito Federal,Total,De 6 a 9 años,754808,381544,373264,489841,245882,243959,264967,135662,129305
526,Estados Unidos Mexicanos,Distrito Federal,Total,De 10 a 14 años,835289,413594,421695,797722,396421,401301,37567,17173,20394
527,Estados Unidos Mexicanos,Distrito Federal,Total,De 15 a 19 años,780424,366049,414375,745067,354627,390440,35357,11422,23935
528,Estados Unidos Mexicanos,Distrito Federal,Total,De 20 a 24 años,688295,328336,359959,650317,316947,333370,37978,11389,26589
529,Estados Unidos Mexicanos,Distrito Federal,Total,De 25 a 29 años,526980,256017,270963,488098,244417,243681,38882,11600,27282
530,Estados Unidos Mexicanos,Distrito Federal,Total,De 30 a 34 años,404036,195939,208097,368660,185474,183186,35376,10465,24911
531,Estados Unidos Mexicanos,Distrito Federal,Total,De 35 a 39 años,373206,175776,197430,330589,164051,166538,42617,11725,30892
532,Estados Unidos Mexicanos,Distrito Federal,Total,De 40 años y más,1250580,560429,690151,1036742,503755,532987,213838,56674,157164
533,Estados Unidos Mexicanos,Distrito Federal,Hasta 2 499 habitantes,Total,180894,90621,90273,145158,75255,69903,35736,15366,20370
534,Estados Unidos Mexicanos,Distrito Federal,Hasta 2 499 habitantes,De 6 a 9 años,28723,14863,13860,16272,8174,8098,12451,6689,5762
535,Estados Unidos Mexicanos,Distrito Federal,Hasta 2 499 habitantes,De 10 a 14 años,29383,15126,14257,27007,13769,13238,2376,1357,1019
536,Estados Unidos Mexicanos,Distrito Federal,Hasta 2 499 habitantes,De 15 a 19 años,24231,11815,12416,22334,10950,11384,1897,865,1032
537,Estados Unidos Mexicanos,Distrito Federal,Hasta 2 499 habitantes,De 20 a 24 años,21096,10274,10822,18894,9474,9420,2202,800,1402
538,Estados Unidos Mexicanos,Distrito Federal,Hasta 2 499 habitantes,De 25 a 29 años,16848,8413,8435,14476,7595,6881,2372,818,1554
539,Estados Unidos Mexicanos,Distrito Federal,Hasta 2 499 habitantes,De 30 a 34 años,12991,6623,6368,10917,5872,5045,2074,751,1323
540,Estados Unidos Mexicanos,Distrito Federal,Hasta 2 499 habitantes,De 35 a 39 años,12498,6239,6259,10046,5435,4611,2452,804,1648
541,Estados Unidos Mexicanos,Distrito Federal,Hasta 2 499 habitantes,De 40 años y más,35124,17268,17856,25212,13986,11226,9912,3282,6630
542,Estados Unidos Mexicanos,Distrito Federal,De 2 500 a 4 999 habitantes,Total,391495,190454,201041,331273,166895,164378,60222,23559,36663
543,Estados Unidos Mexicanos,Distrito Federal,De 2 500 a 4 999 habitantes,De 6 a 9 años,59295,30105,29190,36621,18490,18131,22674,11615,11059
544,Estados Unidos Mexicanos,Distrito Federal,De 2 500 a 4 999 habitantes,De 10 a 14 años,63808,31927,31881,60369,30324,30045,3439,1603,1836
545,Estados Unidos Mexicanos,Distrito Federal,De 2 500 a 4 999 habitantes,De 15 a 19 años,54230,25892,28338,51376,24896,26480,2854,996,1858
546,Estados Unidos Mexicanos,Distrito Federal,De 2 500 a 4 999 habitantes,De 20 a 24 años,45401,21663,23738,42216,20655,21561,3185,1008,2177
547,Estados Unidos Mexicanos,Distrito Federal,De 2 500 a 4 999 habitantes,De 25 a 29 años,34845,16958,17887,31392,15875,15517,3453,1083,2370
548,Estados Unidos Mexicanos,Distrito Federal,De 2 500 a 4 999 habitantes,De 30 a 34 años,27783,13518,14265,24644,12540,12104,3139,978,2161
549,Estados Unidos Mexicanos,Distrito Federal,De 2 500 a 4 999 habitantes,De 35 a 39 años,26141,12621,13520,22324,11541,10783,3817,1080,2737
550,Estados Unidos Mexicanos,Distrito Federal,De 2 500 a 4 999 habitantes,De 40 años y más,79992,37770,42222,62331,32574,29757,17661,5196,12465
551,Estados Unidos Mexicanos,Distrito Federal,De 5 000 a 9 999 habitantes,Total,627743,305864,321879,528029,266613,261416,99714,39251,60463
552,Estados Unidos Mexicanos,Distrito Federal,De 5 000 a 9 999 habitantes,De 6 a 9 años,95857,48101,47756,58707,29237,29470,37150,18864,18286
553,Estados Unidos Mexicanos,Distrito Federal,De 5 000 a 9 999 habitantes,De 10 a 14 años,101274,50278,50996,95641,47711,47930,5633,2567,3066
554,Estados Unidos Mexicanos,Distrito Federal,De 5 000 a 9 999 habitantes,De 15 a 19 años,85583,41266,44317,81071,39627,41444,4512,1639,2873
555,Estados Unidos Mexicanos,Distrito Federal,De 5 000 a 9 999 habitantes,De 20 a 24 años,74070,35395,38675,68653,33653,35000,5417,1742,3675
556,Estados Unidos Mexicanos,Distrito Federal,De 5 000 a 9 999 habitantes,De 25 a 29 años,57667,28408,29259,51781,26553,25228,5886,1855,4031
557,Estados Unidos Mexicanos,Distrito Federal,De 5 000 a 9 999 habitantes,De 30 a 34 años,45417,22459,22958,39884,20634,19250,5533,1825,3708
558,Estados Unidos Mexicanos,Distrito Federal,De 5 000 a 9 999 habitantes,De 35 a 39 años,42633,20662,21971,35946,18660,17286,6687,2002,4685
559,Estados Unidos Mexicanos,Distrito Federal,De 5 000 a 9 999 habitantes,De 40 años y más,125242,59295,65947,96346,50538,45808,28896,8757,20139
560,Estados Unidos Mexicanos,Distrito Federal,De 10 000 a 19 999 habitantes,Total,891826,429909,461917,768205,382040,386165,123621,47869,75752
561,Estados Unidos Mexicanos,Distrito Federal,De 10 000 a 19 999 habitantes,De 6 a 9 años,129538,65575,63963,82166,41407,40759,47372,24168,23204
562,Estados Unidos Mexicanos,Distrito Federal,De 10 000 a 19 999 habitantes,De 10 a 14 años,140706,69832,70874,134023,66790,67233,6683,3042,3641
563,Estados Unidos Mexicanos,Distrito Federal,De 10 000 a 19 999 habitantes,De 15 a 19 años,124247,58534,65713,118061,56522,61539,6186,2012,4174
