,Estados Unidos Mexicanos,Entidad Federativa,Edad desplegada,Población de 6 a 14 años:Total,Población de 6 a 14 años:Hombres,Población de 6 a 14 años:Mujeres,Sabe leer y escribir :Total,Sabe leer y escribir :Hombres,Sabe leer y escribir :Mujeres,No sabe leer y escribir :Total,No sabe leer y escribir :Hombres,No sabe leer y escribir :Mujeres,No especificado :Total,No especificado :Hombres,No especificado :Mujeres
262,Estados Unidos Mexicanos,25 Sinaloa,14 años,61820,31033,30787,59661,29747,29914,2052,1238,814,107,48,59
263,Estados Unidos Mexicanos,26 Sonora,De 6 a 14 años,396069,199874,196195,359643,180082,179561,34581,18858,15723,1845,934,911
264,Estados Unidos Mexicanos,26 Sonora,6 años,42585,21564,21021,18270,8791,9479,23411,12326,11085,904,447,457
265,Estados Unidos Mexicanos,26 Sonora,7 años,43090,21773,21317,38121,19001,19120,4691,2627,2064,278,145,133
266,Estados Unidos Mexicanos,26 Sonora,8 años,44728,22719,22009,42717,21534,21183,1863,1119,744,148,66,82
267,Estados Unidos Mexicanos,26 Sonora,9 años,43321,21877,21444,42149,21179,20970,1044,635,409,128,63,65
268,Estados Unidos Mexicanos,26 Sonora,10 años,44883,22615,22268,43985,22077,21908,794,483,311,104,55,49
269,Estados Unidos Mexicanos,26 Sonora,11 años,41453,20833,20620,40700,20399,20301,654,382,272,99,52,47
270,Estados Unidos Mexicanos,26 Sonora,12 años,45692,23311,22381,44892,22830,22062,736,444,292,64,37,27
271,Estados Unidos Mexicanos,26 Sonora,13 años,43933,22177,21756,43166,21728,21438,705,419,286,62,30,32
272,Estados Unidos Mexicanos,26 Sonora,14 años,46384,23005,23379,45643,22543,23100,683,423,260,58,39,19
273,Estados Unidos Mexicanos,27 Tabasco,De 6 a 14 años,379125,190410,188715,324067,162175,161892,52045,26712,25333,3013,1523,1490
274,Estados Unidos Mexicanos,27 Tabasco,6 años,43336,21685,21651,12351,5929,6422,29702,15099,14603,1283,657,626
275,Estados Unidos Mexicanos,27 Tabasco,7 años,42656,21558,21098,34008,17008,17000,8068,4245,3823,580,305,275
276,Estados Unidos Mexicanos,27 Tabasco,8 años,45383,22751,22632,40840,20374,20466,4224,2218,2006,319,159,160
277,Estados Unidos Mexicanos,27 Tabasco,9 años,41494,20881,20613,38901,19479,19422,2334,1281,1053,259,121,138
278,Estados Unidos Mexicanos,27 Tabasco,10 años,44280,22566,21714,42126,21434,20692,2009,1054,955,145,78,67
279,Estados Unidos Mexicanos,27 Tabasco,11 años,38509,19463,19046,37028,18713,18315,1316,672,644,165,78,87
280,Estados Unidos Mexicanos,27 Tabasco,12 años,43192,22090,21102,41593,21274,20319,1496,759,737,103,57,46
281,Estados Unidos Mexicanos,27 Tabasco,13 años,39816,19681,20135,38334,18976,19358,1407,671,736,75,34,41
282,Estados Unidos Mexicanos,27 Tabasco,14 años,40459,19735,20724,38886,18988,19898,1489,713,776,84,34,50
283,Estados Unidos Mexicanos,28 Tamaulipas,De 6 a 14 años,476740,240863,235877,429751,215632,214119,44498,23955,20543,2491,1276,1215
284,Estados Unidos Mexicanos,28 Tamaulipas,6 años,51685,26069,25616,22115,10740,11375,28366,14715,13651,1204,614,590
285,Estados Unidos Mexicanos,28 Tamaulipas,7 años,51143,25892,25251,44428,22215,22213,6329,3483,2846,386,194,192
286,Estados Unidos Mexicanos,28 Tamaulipas,8 años,53602,27201,26401,50737,25556,25181,2666,1537,1129,199,108,91
287,Estados Unidos Mexicanos,28 Tamaulipas,9 años,51495,26251,25244,49838,25296,24542,1469,858,611,188,97,91
288,Estados Unidos Mexicanos,28 Tamaulipas,10 años,53721,27317,26404,52330,26496,25834,1270,760,510,121,61,60
289,Estados Unidos Mexicanos,28 Tamaulipas,11 años,50504,25457,25047,49337,24775,24562,998,593,405,169,89,80
290,Estados Unidos Mexicanos,28 Tamaulipas,12 años,54896,28037,26859,53650,27302,26348,1163,701,462,83,34,49
291,Estados Unidos Mexicanos,28 Tamaulipas,13 años,54230,27116,27114,53066,26433,26633,1094,641,453,70,42,28
292,Estados Unidos Mexicanos,28 Tamaulipas,14 años,55464,27523,27941,54250,26819,27431,1143,667,476,71,37,34
293,Estados Unidos Mexicanos,29 Tlaxcala,De 6 a 14 años,190478,95843,94635,172756,86864,85892,16998,8620,8378,724,359,365
294,Estados Unidos Mexicanos,29 Tlaxcala,6 años,21331,10614,10717,8891,4362,4529,12020,6053,5967,420,199,221
295,Estados Unidos Mexicanos,29 Tlaxcala,7 años,21038,10670,10368,18801,9488,9313,2115,1111,1004,122,71,51
296,Estados Unidos Mexicanos,29 Tlaxcala,8 años,22467,11317,11150,21684,10896,10788,733,395,338,50,26,24
297,Estados Unidos Mexicanos,29 Tlaxcala,9 años,21067,10507,10560,20622,10276,10346,407,207,200,38,24,14
298,Estados Unidos Mexicanos,29 Tlaxcala,10 años,21977,11304,10673,21566,11079,10487,391,217,174,20,8,12
299,Estados Unidos Mexicanos,29 Tlaxcala,11 años,19375,9740,9635,19088,9603,9485,257,122,135,30,15,15
300,Estados Unidos Mexicanos,29 Tlaxcala,12 años,22184,11277,10907,21795,11081,10714,373,192,181,16,4,12
301,Estados Unidos Mexicanos,29 Tlaxcala,13 años,20271,10094,10177,19907,9934,9973,345,151,194,19,9,10
302,Estados Unidos Mexicanos,29 Tlaxcala,14 años,20768,10320,10448,20402,10145,10257,357,172,185,9,3,6
303,Estados Unidos Mexicanos,30 Veracruz - Llave,De 6 a 14 años,1456203,735877,720326,1204171,607091,597080,244446,124878,119568,7586,3908,3678
304,Estados Unidos Mexicanos,30 Veracruz - Llave,6 años,162832,82174,80658,51714,25320,26394,107687,55060,52627,3431,1794,1637
305,Estados Unidos Mexicanos,30 Veracruz - Llave,7 años,164839,83551,81288,124055,62366,61689,39364,20477,18887,1420,708,712
306,Estados Unidos Mexicanos,30 Veracruz - Llave,8 años,172323,87516,84807,146259,74087,72172,25239,13009,12230,825,420,405
307,Estados Unidos Mexicanos,30 Veracruz - Llave,9 años,160271,81198,79073,144066,72910,71156,15637,7997,7640,568,291,277
308,Estados Unidos Mexicanos,30 Veracruz - Llave,10 años,168426,85811,82615,153582,78158,75424,14455,7450,7005,389,203,186
309,Estados Unidos Mexicanos,30 Veracruz - Llave,11 años,148528,74758,73770,138180,69470,68710,9988,5093,4895,360,195,165
310,Estados Unidos Mexicanos,30 Veracruz - Llave,12 años,166393,85248,81145,154822,79479,75343,11364,5665,5699,207,104,103
311,Estados Unidos Mexicanos,30 Veracruz - Llave,13 años,155573,77788,77785,145248,72744,72504,10126,4940,5186,199,104,95
312,Estados Unidos Mexicanos,30 Veracruz - Llave,14 años,157018,77833,79185,146245,72557,73688,10586,5187,5399,187,89,98
313,Estados Unidos Mexicanos,31 Yucatán,De 6 a 14 años,308736,156030,152706,260795,131504,129291,46623,23859,22764,1318,667,651
314,Estados Unidos Mexicanos,31 Yucatán,6 años,35433,17811,17622,11966,5877,6089,22857,11624,11233,610,310,300
315,Estados Unidos Mexicanos,31 Yucatán,7 años,35191,18000,17191,27097,13716,13381,7865,4166,3699,229,118,111
316,Estados Unidos Mexicanos,31 Yucatán,8 años,35663,17912,17751,31207,15571,15636,4345,2280,2065,111,61,50
317,Estados Unidos Mexicanos,31 Yucatán,9 años,33041,16658,16383,30599,15340,15259,2359,1270,1089,83,48,35
318,Estados Unidos Mexicanos,31 Yucatán,10 años,34045,17460,16585,31907,16366,15541,2093,1073,1020,45,21,24
319,Estados Unidos Mexicanos,31 Yucatán,11 años,31808,16086,15722,30187,15278,14909,1544,768,776,77,40,37
320,Estados Unidos Mexicanos,31 Yucatán,12 años,35417,18250,17167,33505,17283,16222,1869,949,920,43,18,25
321,Estados Unidos Mexicanos,31 Yucatán,13 años,33768,16921,16847,31950,16053,15897,1767,849,918,51,19,32
322,Estados Unidos Mexicanos,31 Yucatán,14 años,34370,16932,17438,32377,16020,16357,1924,880,1044,69,32,37
323,Estados Unidos Mexicanos,32 Zacatecas,De 6 a 14 años,325049,163684,161365,285013,142133,142880,38486,20726,17760,1550,825,725
324,Estados Unidos Mexicanos,32 Zacatecas,6 años,35036,17698,17338,10564,5005,5559,23611,12237,11374,861,456,405
325,Estados Unidos Mexicanos,32 Zacatecas,7 años,34920,17761,17159,28844,14508,14336,5840,3129,2711,236,124,112
326,Estados Unidos Mexicanos,32 Zacatecas,8 años,35776,18093,17683,33135,16603,16532,2507,1425,1082,134,65,69
327,Estados Unidos Mexicanos,32 Zacatecas,9 años,34535,17403,17132,33026,16518,16508,1406,824,582,103,61,42
328,Estados Unidos Mexicanos,32 Zacatecas,10 años,37517,19039,18478,36269,18315,17954,1198,695,503,50,29,21
329,Estados Unidos Mexicanos,32 Zacatecas,11 años,34871,17476,17395,33849,16846,17003,965,596,369,57,34,23
330,Estados Unidos Mexicanos,32 Zacatecas,12 años,38857,19778,19079,37820,19144,18676,1001,615,386,36,19,17
331,Estados Unidos Mexicanos,32 Zacatecas,13 años,36367,18128,18239,35414,17539,17875,924,575,349,29,14,15
332,Estados Unidos Mexicanos,32 Zacatecas,14 años,37170,18308,18862,36092,17655,18437,1034,630,404,44,23,21
