,Estados Unidos Mexicanos,Entidad federativa,Edad desplegada,Población de 6 a 14 años:Total,Población de 6 a 14 años:Hombres,Población de 6 a 14 años:Mujeres,Sabe leer y escribir :Total,Sabe leer y escribir :Hombres,Sabe leer y escribir :Mujeres,No sabe leer y escribir :Total,No sabe leer y escribir :Hombres,No sabe leer y escribir :Mujeres,No especificado :Total,No especificado :Hombres,No especificado :Mujeres
51,Estados Unidos Mexicanos,04 Campeche,13 años,14932,7419,7513,14292,7099,7193,613,305,308,27,15,12
52,Estados Unidos Mexicanos,04 Campeche,14 años,15143,7519,7624,14413,7159,7254,698,351,347,32,9,23
53,Estados Unidos Mexicanos,05 Coahuila,Total,427245,216833,210412,386955,195169,191786,39269,21135,18134,1021,529,492
54,Estados Unidos Mexicanos,05 Coahuila,6 años,47989,24403,23586,21448,10665,10783,26188,13552,12636,353,186,167
55,Estados Unidos Mexicanos,05 Coahuila,7 años,46991,23814,23177,40534,20236,20298,6351,3515,2836,106,63,43
56,Estados Unidos Mexicanos,05 Coahuila,8 años,49020,24959,24061,46868,23721,23147,2060,1195,865,92,43,49
57,Estados Unidos Mexicanos,05 Coahuila,9 años,46851,23742,23109,45661,23035,22626,1084,654,430,106,53,53
58,Estados Unidos Mexicanos,05 Coahuila,10 años,48897,24889,24008,48001,24355,23646,812,492,320,84,42,42
59,Estados Unidos Mexicanos,05 Coahuila,11 años,44709,22674,22035,44027,22261,21766,623,384,239,59,29,30
60,Estados Unidos Mexicanos,05 Coahuila,12 años,48782,24995,23787,48030,24518,23512,680,437,243,72,40,32
61,Estados Unidos Mexicanos,05 Coahuila,13 años,47154,23703,23451,46396,23237,23159,693,434,259,65,32,33
62,Estados Unidos Mexicanos,05 Coahuila,14 años,46852,23654,23198,45990,23141,22849,778,472,306,84,41,43
63,Estados Unidos Mexicanos,06 Colima,Total,103292,52439,50853,89172,44757,44415,13838,7527,6311,282,155,127
64,Estados Unidos Mexicanos,06 Colima,6 años,11336,5722,5614,3462,1667,1795,7748,3989,3759,126,66,60
65,Estados Unidos Mexicanos,06 Colima,7 años,11019,5628,5391,8536,4262,4274,2449,1346,1103,34,20,14
66,Estados Unidos Mexicanos,06 Colima,8 años,12032,6046,5986,10843,5374,5469,1166,661,505,23,11,12
67,Estados Unidos Mexicanos,06 Colima,9 años,11461,5774,5687,10757,5366,5391,670,392,278,34,16,18
68,Estados Unidos Mexicanos,06 Colima,10 años,12055,6261,5794,11544,5938,5606,498,313,185,13,10,3
69,Estados Unidos Mexicanos,06 Colima,11 años,11013,5595,5418,10670,5385,5285,332,204,128,11,6,5
70,Estados Unidos Mexicanos,06 Colima,12 años,11784,6065,5719,11436,5848,5588,333,210,123,15,7,8
71,Estados Unidos Mexicanos,06 Colima,13 años,11294,5703,5591,10966,5493,5473,315,202,113,13,8,5
72,Estados Unidos Mexicanos,06 Colima,14 años,11298,5645,5653,10958,5424,5534,327,210,117,13,11,2
73,Estados Unidos Mexicanos,07 Chiapas,Total,878839,444986,433853,639165,326904,312261,236542,116486,120056,3132,1596,1536
74,Estados Unidos Mexicanos,07 Chiapas,6 años,105732,53570,52162,23308,11774,11534,81447,41291,40156,977,505,472
75,Estados Unidos Mexicanos,07 Chiapas,7 años,97626,49555,48071,53940,27252,26688,43189,22039,21150,497,264,233
76,Estados Unidos Mexicanos,07 Chiapas,8 años,110169,55513,54656,75770,38411,37359,33973,16896,17077,426,206,220
77,Estados Unidos Mexicanos,07 Chiapas,9 años,92296,46553,45743,73264,37190,36074,18716,9191,9525,316,172,144
78,Estados Unidos Mexicanos,07 Chiapas,10 años,107962,55170,52792,89358,46110,43248,18349,8933,9416,255,127,128
79,Estados Unidos Mexicanos,07 Chiapas,11 años,84335,43010,41325,74243,38242,36001,9895,4665,5230,197,103,94
